Name	Direction	TU_start	TU_end	Genes
yhcN_1	+	3385481.0	3385801	yhcN
yhcN_2	+	3385406.0	3385801	yhcN
nuoMN	-	2390005	2393071	nuoN,nuoM
exbD	-	3150552	3151390	exbD
yagML	-	293220	294799	yagM,yagL
yneK_1	+	1615731.0	1616878	yneK
yneK_2	+	1615550.0	1616878	yneK
yliI	+	878742	879857	yliI
ydgH_1	+	1678377.0	1679371	ydgH
fkpA_1	-	3476607	3477525	fkpA
mepK-gloC	+	983023	984297	gloC,mepK
sbcB	+	2082728	2084183	sbcB
aroF-tyrA	-	2738912	2741201	tyrA,aroF
pspBCDE	+	1368771	1370003	pspE,pspD,pspC,pspB
dacA_1	-	662752	663967.0	dacA
dacA_2	-	662752	664001.0	dacA
gatR_2	-	2169693	2171757	gatR
pdeR	-	1344757	1346843	pdeR
uspA_1	+	3640000	3640591	uspA
lptAB_1	+	3343326	3344669	lptB,lptA
fliCX	-	2001912	2003676	fliX,fliC
araE-ygeA	-	2979943	2982208	ygeA,araE
nemRA	+	1726021	1727756	nemA,nemR
pabA	-	3490266	3490851	pabA
feaR_2	-	1446378	1447309	feaR
argF	-	289301	290340	argF
yraL	-	3292475	3293335	rsmI
valS_1	-	4480932	4483919	valS
metJ_1	-	4128078	4128466	metJ
nuoABCEFGHIJKLMN_2	-	2390005	2405162	nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA
ydjO_1	-	1812329	1813255.0	ydjO
ydjO_2	-	1812329	1813348.0	ydjO
ydjO_3	-	1812329	1813188.0	ydjO
ydjO_4	-	1812329	1813348.0	ydjO
ydjO_5	-	1812329	1813153.0	ydjO
idnK	+	4494597	4495186	idnK
prfB-lysS	-	3033657	3036282	lysS,prfB
mcbA	-	841796	842153	mcbA
azoR	-	1482255	1482904	azoR
ghrA_1	+	1097824.0	1098824	ghrA
thrS-infC-rpmI-rplT-pheMST-ihfA	-	1795253	1802733	ihfA,pheT,pheS,pheM,rplT,rpmI,infC,thrS
mlc-ynfK_1	-	1666524	1668591	bidA,mlc
gcvB	+	2942696	2942901	gcvB
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp_1	-	3308999	3318375	pnp,rpsO,truB,rbfA,infB,nusA,rimP,metY
ybdN	-	635349	636686	ybdN
dps_1	-	848408	848950	dps
dicC-ydfXW	-	1647174	1647876	dicC,ydfX,ydfW
ilvC	+	3957912	3959445	ilvC
slyB_1	+	1719777	1720343	slyB
ycgZ_1	+	1215752.0	1216025	ycgZ
ycgZ_2	+	1215752.0	1216025	ycgZ
araFGH_1	-	1982554	1986148	araH,araG,araF
napFDAGHBC	-	2297657	2303695	napC,napB,napH,napG,napA,napD,napF
aroL-yaiA-aroM_1	+	406355	408105	aroM,yaiA,aroL
cspE_1	+	657147	657501	cspE
yadGH	+	142779	144472	yadH,yadG
argX-hisR-leuT-proM	+	3982364	3982841	argX,hisR,leuT,proM
ygjI_1	+	3226142.0	3227667	ygjI
ygjI_2	+	3226070.0	3227667	ygjI
clpS	+	922751	923233	clpS
ybgIJKL-nei_1	+	742798	746726	pxpA,nei,pxpC,pxpB,ybgI
rrsA-ileT-alaT-rrlA-rrfA_1	+	4035239	4040636	rrfA,rrlA,alaT,ileT,rrsA
yjbB	+	4227602	4229362	yjbB
kbp	-	2796337	2796814	kbp
glsB-yneG	-	1611966	1613251	glsB,yneG
yiiS-uspD	+	4112869	4113721	uspD,yiiS
mdtH	-	1124118	1125326	mdtH
ygbE_1	-	2873014	2873392.0	ygbE
gntK	-	3577006	3577645	gntK
hspQ	-	1028404	1028751	hspQ
yraQ_1	-	3297098	3298207.0	yraQ
yraQ_2	-	3297098	3298174.0	yraQ
yciK-btuR	-	1327767	1329112	yciK,btuR
ybjS_1	-	905740	906898.0	ybjS
yohO_1	+	2215586.0	2215764	yohO
metNIQ	-	220113	222714	metQ,metI,metN
nagBACD	-	699574	703708	umpH,nagC,nagA,nagB
ydjM	+	1810170	1810801	ydjM
evgAS_1	+	2483641	2487967	evgS,evgA
fucAO	-	2931865	2933854	fucO,fucA
yhjH	-	3678420	3679229	pdeH
minCDE	-	1224279	1226080	minE,minD,minC
ydgJ_1	-	1703268	1704399.0	ydgJ
yiaF	-	3718334	3719097	yiaF
alaA-yfbR_1	+	2407414.0	2409461	yfbR,alaA
alaA-yfbR_2	+	2407408.0	2409461	yfbR,alaA
yiiR	+	4112315	4112755	yiiR
ldtE	-	1757721	1758725	ldtE
carB	+	30775	34038	carB
proL	+	2286207	2286331	proL
yghX	-	3146856	3147691	yghX
ynaJ	+	1397365	1397622	ynaJ
nmpC	-	574529	576870	nmpC
ydiJ-menI-ydiH	-	1764934	1768685	ydiJ,menI,ydiH
pspF_1	-	1366818	1368040	pspF
dsrA	-	2025223	2025313	dsrA
yfeR_1	-	2525930	2527039.0	yfeR
yhjD_1	+	3673330.0	3674375	yhjD
ftsAZ	+	103561	106456	ftsZ,ftsA
osmB_1	-	1343110	1343476	osmB
ddlA	-	399829	400923	ddlA
csgC	+	1104931	1105293	csgC
ydiE_1	+	1789603.0	1789804	ydiE
yhcG	+	3367827	3368954	yhcG
slyA_1	-	1720390	1720849.0	slyA
slyA_2	-	1720390	1721014.0	slyA
slyA_3	-	1720390	1720865.0	slyA
emrE	+	568315	568647	emrE
yqaE	-	2796870	2797085	yqaE
ycaI-msbA-lpxK-ycaQ_1	+	964108.0	970621	ycaQ,lpxK,msbA,ycaI
ycaI-msbA-lpxK-ycaQ_2	+	964238.0	970621	ycaQ,lpxK,msbA,ycaI
ycaI-msbA-lpxK-ycaQ_3	+	964105.0	970621	ycaQ,lpxK,msbA,ycaI
pepD_1	-	254259	255776	pepD
cspG_1	+	1051305.0	1051673	cspG
folC-dedD	-	2430850	2432942	folC,dedD
tolC-ygiBC_1	+	3178004	3181581	ygiC,ygiB,tolC
yafZ	-	267184	268026	yafZ
gadEF_1	+	3658242	3659082	gadF,gadE
insN-1p // insO1 // insI1 // insN	+	270226	272190	insI1,insN
pstS_1	-	3910443	3911568	pstS
rpsLG-fusA-tufA	-	3470145	3474621	tufA,fusA,rpsG,rpsL
xdhABC_1	+	3000265	3003968	xdhC,xdhB,xdhA
ompW	+	1313991	1314658	ompW
cueR_1	+	513974.0	514400	cueR
yggE_1	-	3067340	3068185	yggE
ypfH	-	2593072	2593770	ypfH
ytfH_1	+	4434104.0	4434493	ytfH
ytfH_2	+	4434082.0	4434493	ytfH
yhjC	+	3672136	3673313	rcdB
dksA-yadB_1	-	159186	160722	gluQ,dksA
rdlD	+	3700136	3700199	rdlD
ygeG	+	2991268	2991759	ygeG
ycfT_1	-	1174092	1175329.0	ycfT
ycfT_2	-	1174092	1175325.0	ycfT
ycbC	-	972622	973401	elyC
aroKB-damX-dam-rpe-gph-trpS_1	-	3512634	3519380	trpS,gph,rpe,dam,damX,aroB,aroK
yeaM	-	1874755	1875600	nimR
dacC	+	880653	881929	dacC
yfjD	+	2748774	2750060	yfjD
yihA_1	-	4050133	4050985.0	yihA
ybgA-phr_1	+	738980	740925	phr,ybgA
dapE-ypfN	+	2591560	2592962	ypfN,dapE
leuU	-	3322072	3322278	leuU
hemL_1	-	173602	174902	hemL
uvrB_1	+	813462	815547	uvrB
rhsC-ybfB_1	+	729379.0	734102	ybfB,rhsC
ptsHI-crr_1	+	2533498	2536380	ptsH,ptsI,crr
sgrST-setA_1	+	77367	78799	sgrT,setA,sgrS
slt	+	4630700	4632670	slt
serS	+	939365	940765	serS
arcA_1	-	4639539	4640801	arcA
yebE	-	1929048	1929732	yebE
ogrK_1	-	2167302	2167548.0	ogrK
ydiY_1	-	1805325	1806217.0	ydiY
ydiY_2	-	1805325	1806250.0	ydiY
ydiY_3	-	1805325	1806170.0	ydiY
epd-pgk-fbaA_1	-	3070165	3073823	fbaA,pgk,epd
yodB_1	+	2042294.0	2042898	yodB
yodB_2	+	2042261.0	2042898	yodB
yodB_3	+	2042176.0	2042898	yodB
yodB_4	+	2042308.0	2042898	yodB
ybjJI	-	885316	887339	ybjJ,ybjI
yhdT-panF-prmA	+	3407351	3410042	yhdT,panF,prmA
panZ_1	+	3597828.0	3598367	panZ
panZ_2	+	3597958.0	3598367	panZ
ybeZY	-	691874	693378	ybeZ,ybeY
yfcF	-	2419841	2420485	yfcF
zwf	-	1934839	1936376	zwf
glsA-ybaT	+	511573	513868	ybaT,glsA
dkgAp // dkgA	+	3156571	3157450	dkgA
nupX	-	2252895	2254145	nupX
ymdF	+	1068081	1068254	ymdF
ygjH_1	-	3220915	3221264.0	ygjH
ygjH_2	-	3220915	3221255.0	ygjH
flhDC_1	-	1977200	1978395	flhC,flhD
ssuEADCB	-	993277	997563	ssuB,ssuC,ssuD,ssuA,ssuE
cyaA_1	+	3990999	3993699	cyaA
aldB	-	3754906	3756535	aldB
insC5CD5D5-yqiHIG	+	3186040	3191696	yqiI,yqiH,yqiG,insD5,insC5,insCD5
yegX_1	-	2182833	2183801.0	yegX
yegX_2	-	2182833	2183820.0	yegX
kup_1	+	3931265	3933184	kup
dksA-yadB_2	-	159186	160657	gluQ,dksA
ubiX	-	2428030	2428656	ubiX
glrK	-	2689671	2691123	glrK
ffs_1	+	476288.0	476561	ffs
ffs_2	+	476422.0	476561	ffs
ffs_3	+	476399.0	476561	ffs
mioC	-	3926012	3926475	mioC
yjfY_1	-	4424516	4424828.0	yjfY
yojI	-	2306972	2308641	yojI
wecH	+	3725887	3726882	wecH
ymgA-ariR	+	1216068	1216635	ariR,ymgA
ymdA	+	1105201	1105725	ymdA
pyrLBI_1	-	4470986	4472553	pyrL,pyrI,pyrB
ydhC_1	+	1739878.0	1741122	punC
ydhC_2	+	1739849.0	1741122	punC
ydhC_3	+	1739855.0	1741122	punC
ytjA	+	4612128	4612289	ytjA
lgt	-	2965066	2966121	lgt
exuT_1	+	3245002	3246522	exuT
gntR_1	-	3577622	3578880	gntR
aaeXAB	-	3386221	3389430	aaeX,aaeA,aaeB
yjfN	-	4416017	4416292	yjfN
ybfOC	+	734220	736219	ybfC,ybfO
yifL-dapF-yigA-xerC-yigB	+	3994492	3997899	yigB,xerC,yigA,dapF,lptM
insH-1_1	-	274101	275298.0	insH1
abrB	-	746723	747769	abrB
uvrD_1	+	3997971	4000177	uvrD
uvrB_2	+	813152	815547	uvrB
yggM_1	-	3098558	3099757.0	yggM
yggM_2	-	3098558	3099595.0	yggM
yggM_3	-	3098558	3099593.0	yggM
fdrA-ylbEF-ybcF_1	+	546506.0	551332	ybcF,ylbF,ylbE,fdrA
dsbC-recJ-prfB	-	3035184	3039633	prfB,recJ,dsbC
ybhA_1	-	797613	798537.0	ybhA
ybhA_2	-	797613	798592.0	ybhA
yzcX	+	3993850	3994335	yzcX
yciCB	-	1312261	1313698	yciC,yciB
sutR	+	1506150	1506708	sutR
mnmA	-	1192667	1193803	mnmA
pntAB	-	1674972	1677975	pntB,pntA
ygiS_1	-	3166111	3167731.0	ygiS
xapR_1	-	2521334	2522505	xapR
hisBHAFI	+	2093360	2097225	hisI,hisF,hisA,hisH,hisB
ryfA_1	+	2653699.0	2654158	ryfA
eno_1	-	2906643	2907968	eno
glnS_1	+	705999	707978	glnS
ytjB-lplA	-	4623101	4624799	lplA,ytjB
hldE	-	3195320	3196753	hldE
yqhA_1	-	3148977	3149498.0	yqhA
yqhA_2	-	3148977	3149575.0	yqhA
artPIQM_1	-	900695	903769	artM,artQ,artI,artP
appY_1	+	583567	584430	appY
yfgA	-	2641831	2642844	rodZ
hdeAB-yhiD_1	-	3655255	3656791	yhiD,hdeB,hdeA
yghA_1	+	3149483.0	3150546	yghA
appY_2	+	583656	584430	appY
yaiY_1	-	399025	399547.0	yaiY
yaiY_2	-	399025	399460.0	yaiY
talA-tktB_1	+	2578588	2581639	tktB,talA
efeOB	+	1082243	1084647	efeB,efeO
rfaDFCL_1	+	3793865	3798207	rfaD,waaF,waaC,waaL
clpA_1	+	923080	925540	clpA
queF	+	2925321	2926196	queF
rrlA-rrfA	+	4037489	4040636	rrfA,rrlA
yjjK_1	-	4628855	4630566.0	ettA
ytfE	-	4431321	4432009	ytfE
araBAD	-	65800	70075	araD,araA,araB
asnA	+	3927129	3928147	asnA
norR_1	-	2830775	2832307.0	norR
dicB-ydfDE-insD-intQ	+	1649597	1652708	intQ,insD7,ydfE,ydfD,dicB
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC_1	+	90688	107474	lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL
nohA-stfQ-tfaQ	-	1634310	1636603	tfaQ,stfQ,nohA
oppA	+	1300916	1302813	oppA
yjeNO	+	4385393	4386018	yjeO,yjeN
napFDAGHBC-ccmABCDEFGH_1	-	2291358	2303577	ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF
arcA_2	-	4639539	4640512	arcA
fabR-yijD	+	4161067	4162130	yijD,fabR
gapA_2	+	1862240	1863766	gapA
secG-leuU_1	-	3322035	3322590	leuU,secG
ecpBCDE_1	-	304495	310119	ecpB,ecpC,ecpD,ecpE
yjgZ_1	+	4501058.0	4501589	yjgZ
deaD_1	-	3305971	3307909.0	deaD
rpnA	+	3543167	3544045	rpnA
yjcO_1	-	4296436	4297330.0	yjcO
yjcO_2	-	4296436	4297222.0	yjcO
yjcO_3	-	4296436	4297134.0	yjcO
yjcO_4	-	4296436	4297151.0	yjcO
tyrP_1	+	1989645	1990892	tyrP
mdtL	+	3891615	3892790	mdtL
fsr_1	-	503476	504852.0	fsr
fsr_2	-	503476	504767.0	fsr
fsr_3	-	503476	504855.0	fsr
fsr_4	-	503476	504847.0	fsr
yabI	+	71271	72115	yabI
mnmE	+	3886828	3888192	mnmE
intD_1	-	564815	566101.0	intD
dmsABC_1	+	940878	944896	dmsC,dmsB,dmsA
dapD	-	185090	185977	dapD
rseD-rpoE-rseABC_1	-	2707322	2710186	rseD,rseC,rseB,rseA,rpoE
yahC_1	-	334525	335068.0	yahC
ompA_2	-	1019013	1020191	ompA
yegI_1	-	2149039	2151077.0	yegI
yegI_2	-	2149039	2151076.0	yegI
yegI_3	-	2149039	2150999.0	yegI
ybaL	-	501562	503295	ybaL
rlhA	+	1506781	1508742	rlhA
rluB	+	1326852	1327727	rluB
gpmA_1	-	786843	787670	gpmA
ydiK	+	1769074	1770186	ydiK
aidB_1	+	4414247	4415900	aidB
rcsA	+	2023836	2024591	rcsA
yhjB_1	-	3671292	3672045.0	yhjB
metA_1	+	4214159	4215209	metA
glpQ	-	2349935	2351124	glpQ
nudI_1	+	2364525.0	2364979	nudI
hisS	-	2639301	2640642	hisS
glgCAP_1	-	3564082	3569571	glgP,glgA,glgC
ykgH	-	324696	325364	ykgH
yeiQ_1	+	2266164.0	2267711	yeiQ
yeiQ_2	+	2266214.0	2267711	yeiQ
yieP-hsrA	-	3939185	3941327	yieP,hsrA
leuS-lptE-holA-nadD-cobC	-	669296	674783	leuS,lptE,holA,nadD,cobC
sdaCB	+	2928229	2930943	sdaC,sdaB
nfo	+	2250806	2251697	nfo
ppdAB-ygdB-ppdC-recC	-	2959060	2964220	ppdA,ppdB,ygdB,ppdC,recC
mazEF	-	2910756	2911339	mazF,mazE
ybjQ-amiD	+	904517	905743	amiD,ybjQ
uxaB_1	-	1609229	1610737.0	uxaB
uxaB_2	-	1609229	1610720.0	uxaB
pheLA	+	2737579	2738940	pheA,pheL
degS	+	3382173	3383316	degS
pyrLBI_2	-	4470986	4472745	pyrL,pyrI,pyrB
alaE	+	2799084	2799613	alaE
hofQ	-	3519465	3520703	hofQ
yafNOP	+	251969	253161	yafP,yafO,yafN
bluF	-	1214264	1215506	bluF
nhaR	+	18715	19620	nhaR
gntT_1	+	3546449	3547875	gntT
syd_1	-	2924735	2925369.0	syd
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF_1	-	3423371	3429047	rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD
ubiG	+	2339539	2340289	ubiG
rnpB	-	3269962	3270592	rnpB
xanP_1	+	3828821.0	3830336	xanP
xanP_2	+	3828919.0	3830336	xanP
ivbL	-	3852835	3853023	ivbL
pykA_1	+	1937544	1939091	pykA
ybdF_1	-	605518	606053.0	ybdF
ynjI	-	1843831	1844900	ynjI
ynfP	-	1652728	1652838	ynfP
ppnP	+	408148	408461	ppnP
msyB	-	1113807	1114213	msyB
asr_1	+	1671327	1671720	asr
aroP_1	-	120144	121671	aroP
ygeR_1	-	2999136	3000039.0	actS
nohD	+	580834	581379	nohD
micF_1	+	2313084	2313176	micF
narP	+	2290422	2291147	narP
yeeP	+	2070786	2071211	yeeP
yfjXY-ypjJ-yfjZ-ypjF	+	2775919	2777782	ypjF,yfjZ,ypjJ,yfjY,yfjX
lacYA	-	361140	363209	lacA,lacY
bssS_1	-	1120701	1121058	bssS
hokB	-	1491922	1492071	hokB
cvpA-purF-ubiX_1	-	2428030	2430800	ubiX,purF,cvpA
chiA	-	3467160	3469896	chiA
rpsA-ihfB_1	+	961717	964173	ihfB,rpsA
emrKY	-	2480638	2483448	emrY,emrK
mepS_1	+	2269920	2270545	mepS
yicC	+	3816645	3817603	yicC
dfp	+	3812703	3813951	dfp
yceI_1	-	1117901	1118641.0	yceI
mlc-ynfK_2	-	1666524	1668591	bidA,mlc
asd	-	3573775	3574878	asd
safA-ydeO	-	1582926	1584028	ydeO,safA
insG_1	-	4502103	4503549.0	insG
yphG	-	2679464	2682745	yphG
mlc	-	1667344	1668603	mlc
lafU	+	250072	250827	lafU
yqjG_1	+	3250974.0	3252010	yqjG
zinT	+	2041346	2042025	zinT
sokC	+	16952	17010	sokC
gpmM-envC-yibQ_1	+	3785187	3789060	yibQ,envC,gpmM
treR_1	-	4466284	4467279	treR
pqiABC_1	+	1011659	1015459	pqiC,pqiB,pqiA
ycgY_1	+	1245083.0	1245600	ycgY
ycgY_2	+	1245101.0	1245600	ycgY
hmp	+	2685797	2687025	hmp
bdcA	-	4473340	4474064	bdcA
pldA	+	4004814	4005836	pldA
allB_1	+	538944	540508	allB
yhhQ_1	+	3609119.0	3609882	yhhQ
yccE	+	1064006	1065292	yccE
uspC_1	+	1979658.0	1980181	uspC
uspC_2	+	1979668.0	1980181	uspC
uspC_3	+	1979591.0	1980181	uspC
uspC_4	+	1979586.0	1980181	uspC
uspC_5	+	1979619.0	1980181	uspC
uspC_6	+	1979598.0	1980181	uspC
ybiO_1	-	843255	845664.0	ybiO
ybiO_2	-	843255	845509.0	ybiO
fadR_1	+	1234916	1235698	fadR
clpA_2	+	923210	925540	clpA
glk_1	-	2508424	2509447	glk
paoABCD	-	297770	302573	paoA,paoB,paoC,paoD
rsmD-yhhL_1	+	3604297.0	3605248	yhhL,rsmD
rsmD-yhhL_2	+	3604297.0	3605248	yhhL,rsmD
rsmD-yhhL_3	+	3604352.0	3605248	yhhL,rsmD
rsmD-yhhL_4	+	3604315.0	3605248	yhhL,rsmD
yihW	+	4074641	4075454	csqR
ptrA	-	2955996	2959011	ptrA
ulaG	-	4418561	4419675	ulaG
insC2D2CD2	-	1467921	1469149	insC2,insD2,insCD2
yibA	+	3766307	3767179	yibA
asflhD	+	1978176	1978395	asflhD
allDC-ylbA	-	543261	546411	allE,allC,allD
yjgL_1	+	4475401.0	4477251	yjgL
ydiL	+	1770615	1770971	ydiL
tynA	-	1449076	1451409	tynA
pta	+	2414486	2416891	pta
yfaE_1	+	2348338.0	2348768	yfaE
yfaE_2	+	2348341.0	2348768	yfaE
ybaA	+	476672	477025	ybaA
modEF	-	792316	794644	modE,modF
ygjR	+	3237282	3238297	ygjR
ecpA	-	310084	310797	ecpA
ypjD_1	+	2747846.0	2748753	ypjD
ypjD_2	+	2747930.0	2748753	ypjD
mhpABCDFE	+	368519	374881	mhpF,mhpE,mhpD,mhpC,mhpB,mhpA
yidHGF	-	3855114	3856307	yidH,yidG,yidF
rsmE-gshB_1	+	3091018.0	3092828	gshB,rsmE
rsmE-gshB_2	+	3091068.0	3092828	gshB,rsmE
pstSCA_1	-	3908495	3911568	pstA,pstC,pstS
htpG_1	+	495084	497029	htpG
yaiX	-	380844	382872	yaiX
yhbQ_1	+	3299939.0	3300268	yhbQ
acnA_1	+	1335781	1338506	acnA
glnAZ_1	-	4055990	4058222	glnZ,glnA
yihV-csqR	+	4073712	4075454	csqR,yihV
hupB_1	+	461305	461778	hupB
metJ_2	-	4128078	4128529	metJ
sokB	+	1492119	1492175	sokB
intB	+	4496750	4497940	intB
rbsDACBKR	+	3933322	3939219	rbsR,rbsD,rbsA,rbsC,rbsB,rbsK
adhE_2	-	1295446	1298309	adhE
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF_2	-	3423371	3429047	rrfF,thrV,rrfD,rrlD,alaU,ileU,rrsD
rcnAB	+	2185827	2187298	rcnB,rcnA
ampC	-	4377783	4379003	ampC
ygaZH	+	2809617	2810679	ygaH,ygaZ
trpR	+	4632704	4633144	trpR
fixABCX	+	42325	45750	fixX,fixC,fixB,fixA
znuA	-	1941651	1942661	znuA
rrsE-gltV-rrlE-rrfE_1	+	4207971	4213209	rrfE,rrlE,gltV,rrsE
yicG	+	3818874	3819491	yicG
rppH-ptsP	-	2966188	2968993	rppH,ptsP
crr_1	+	2535610	2536380	crr
pyrG-eno_1	-	2906643	2909797	eno,pyrG
folB_1	-	3204221	3204648.0	folB
yhbO	+	3298974	3299492	yhbO
rprA	+	1770372	1770477	rprA
cyaR_1	+	2167114	2167200	cyaR
mltF	+	2695767	2697357	mltF
ygcNOP	+	2892657	2894771	ygcP,ygcO,ygcN
trpLEDCBA	-	1316383	1323108	trpA,trpB,trpC,trpD,trpE,trpL
yhjG	-	3676290	3678412	yhjG
wzbc	-	2133490	2137193	wza,wzc,wzb
gadAX_1	-	3664915	3667607	gadX,gadA
yfjW_1	+	2773285.0	2775021	yfjW
manA	+	1688551	1689751	manA
yecM-cutC_1	-	1958447	1959872.0	yecM,cutC
yecM-cutC_2	-	1958447	1959984.0	yecM,cutC
pstSCA_2	-	3908495	3911568	pstA,pstC,pstS
yfiK	+	2715423	2716010	eamB
map-glnD-dapD	-	185123	189506	map,glnD,dapD
yjiC	-	4555490	4556320	yjiC
tas_1	+	2971569.0	2972637	tas
dapB_2	+	28343	29272	dapB
ssb_1	+	4274092	4274661	ssb
yjbFGH	+	4236262	4239730	yjbH,yjbG,yjbF
xanQ-guaD-ghxQ_1	+	3024260.0	3028488	ghxQ,guaD,xanQ
tpx	-	1388305	1388844	tpx
dcuR	-	4349315	4350565	dcuR
yagU	+	302991	303605	yagU
yidKJ	-	3856911	3860116	yidK,yidJ
katG	+	4133812	4136015	katG
dmsABC_2	+	940959	944896	dmsC,dmsB,dmsA
sroA	-	75516	75608	sroA
ade	+	3843910	3845730	adeD
hrpA	+	1483061	1486963	hrpA
betIBA	-	325577	329361	betA,betB,betI
uspG	-	641439	641903	uspG
yajR	-	445302	446687	yajR
infB	-	3313185	3316027	infB
acnB_1	+	131564	134212	acnB
yjjW	-	4614680	4615543	yjjW
acpT	+	3612969	3613556	acpT
fdhF	-	4297178	4299407	fdhF
galS	-	2240628	2241710	galS
ispDF	-	2871301	2872490	ispF,ispD
csgDEFG_1	-	1100851	1103335	csgG,csgF,csgE,csgD
rfaZ-waaU	-	3798239	3800226	waaU,waaZ
glnW-metU-glnVX	-	696392	696860	glnX,glnV,metU,glnW
fliFGHIJK_1	+	2013205	2019513	fliF,fliG,fliH,fliI,fliJ,fliK
ftsK_1	+	933138	937213	ftsK
msrPQ	+	2039478	2041118	msrQ,msrP
sibB	+	2153646	2153781	sibB
gabDTP_1	+	2790912	2795653	gabP,gabT,gabD
ribE-nusB-thiL-pgpA	+	434504	437107	pgpA,thiL,nusB,ribE
mhpR-lacI_1	-	366428	368536	lacI,mhpR
cpxRA_1	-	4103602	4105686	cpxA,cpxR
ybaV_1	+	463752.0	464308	ybaV
cadBA	-	4356470	4360106	cadA,cadB
mltD_1	-	232597	234025.0	mltD
mltD_2	-	232597	233982.0	mltD
yraM	+	3293400	3295436	lpoA
aroM	+	407400	408105	aroM
yjbEFGH_1	+	4235872	4239730	yjbH,yjbG,yjbF,yjbE
trmJ	-	2662583	2663323	trmJ
yfaY	-	2362431	2363655	yfaY
yegH	+	2137863	2139485	yegH
yhbW	+	3303448	3304455	yhbW
acrB	-	481254	484685	acrB
uxuAB	+	4551518	4554361	uxuB,uxuA
