Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
ytfH	[ytfH 4,434,113 &rarr; 4,434,493]	+		
yidKJ	[yidKJ 3,856,911 &larr; 3,860,116]	-		
yhhT	[yhhT 3,611,865 &rarr; 3,612,914]	+		
mepK-gloC	[mepK-gloC 983,023 &rarr; 984,297]	+	mepKp	[mepKp 983,023]
ftsAZ	[ftsAZ 103,517 &rarr; 106,456]	+	ftsAp1	[ftsAp1 103,561]
cspG	[cspG 1,051,461 &rarr; 1,051,673]	+		
gapA	[gapA 1,862,526 &rarr; 1,863,766]	+	gapAp4	[gapAp4 1,862,526]
nudI	[nudI 2,364,554 &rarr; 2,364,979]	+		
ybjS	[ybjS 905,740 &larr; 906,753]	-		
ynaJ	[ynaJ 1,397,365 &rarr; 1,397,622]	+		
mhpABCDFE	[mhpABCDFE 368,423 &rarr; 374,881]	+	mhpAp	[mhpAp 368,519]
yidHGF	[yidHGF 3,855,114 &larr; 3,856,307]	-		
lptAB	[lptAB 3,343,326 &rarr; 3,344,669]	+	lptAp1	[lptAp1 3,343,326]
argD	[argD 3,488,960 &larr; 3,490,221]	-	argDp	[argDp 3,490,221]
ydgJ	[ydgJ 1,703,268 &larr; 1,704,308]	-		
oppA	[oppA 1,300,916 &rarr; 1,302,813]	+	oppAp2	[oppAp2 1,300,916]
rppH-ptsP	[rppH-ptsP 2,966,188 &larr; 2,968,993]	-	rppHp	[rppHp 2,968,993]
zwf	[zwf 1,934,839 &larr; 1,936,376]	-	zwfp	[zwfp 1,936,376]
thrS-infC-rpmI-rplT-pheMST-ihfA	[thrS-infC-rpmI-rplT-pheMST-ihfA 1,795,253 &larr; 1,802,733]	-	thrSp	[thrSp 1,802,733]
glsA-ybaT	[glsA-ybaT 511,573 &rarr; 513,868]	+	glsAp	[glsAp 511,573]
bluF	[bluF 1,214,264 &larr; 1,215,506]	-	bluFp	[bluFp 1,215,506]
ygeG	[ygeG 2,991,268 &rarr; 2,991,759]	+		
yqeIJ	[yqeIJ 2,988,502 &rarr; 2,989,786]	+		
cyaR	[cyaR 2,167,114 &rarr; 2,167,200]	+	cyaRp2	[cyaRp2 2,167,114]
mlc-ynfK	[mlc-ynfK 1,666,524 &larr; 1,668,591]	-	mlcp2	[mlcp2 1,668,591]
ulaG	[ulaG 4,418,561 &larr; 4,419,675]	-	ulaGp	[ulaGp 4,419,675]
yahC	[yahC 334,525 &larr; 335,022]	-		
appY	[appY 583,656 &rarr; 584,430]	+	appYp2	[appYp2 583,656]
ydjM	[ydjM 1,810,170 &rarr; 1,810,801]	+	ydjMp	[ydjMp 1,810,170]
intB	[intB 4,496,750 &rarr; 4,497,940]	+		
ratA-yfjF	[ratA-yfjF 2,754,008 &larr; 2,754,764]	-		
yjhA	[yjhA 4,538,785 &larr; 4,539,501]	-		
pta	[pta 2,414,486 &rarr; 2,416,891]	+	ptap	[ptap 2,414,486]
sbcB	[sbcB 2,082,728 &rarr; 2,084,183]	+	sbcBp	[sbcBp 2,082,728]
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,429,047]	-	rrsDp	[rrsDp 3,429,047]
uvrB	[uvrB 813,462 &rarr; 815,547]	+	uvrBp2	[uvrBp2 813,462]
yraM	[yraM 3,293,400 &rarr; 3,295,436]	+		
araFGH	[araFGH 1,982,554 &larr; 1,986,148]	-	araFp2	[araFp2 1,986,148]
yjiC	[yjiC 4,555,490 &larr; 4,556,320]	-		
yjaH	[yjaH 4,200,566 &rarr; 4,201,261]	+		
aidB	[aidB 4,414,193 &rarr; 4,415,900]	+	aidBp1	[aidBp1 4,414,247]
yhjC	[yhjC 3,672,136 &rarr; 3,673,313]	+	yhjCp	[yhjCp 3,672,136]
ybjQ-amiD	[ybjQ-amiD 904,517 &rarr; 905,743]	+	ybjQp	[ybjQp 904,517]
paoABCD	[paoABCD 297,770 &larr; 302,573]	-		
prfB-lysS	[prfB-lysS 3,033,657 &larr; 3,036,282]	-		
betIBA	[betIBA 325,577 &larr; 329,361]	-	betIp	[betIp 329,361]
yqaE	[yqaE 2,796,870 &larr; 2,797,085]	-	yqaEp	[yqaEp 2,797,085]
yafNOP	[yafNOP 251,969 &rarr; 253,161]	+	yafNp	[yafNp 251,969]
folC-dedD	[folC-dedD 2,430,850 &larr; 2,432,942]	-		
citR-ybdNM	[citR-ybdNM 634,747 &larr; 637,618]	-		
yghX	[yghX 3,146,856 &larr; 3,147,691]	-		
ssb	[ssb 4,273,938 &rarr; 4,274,661]	+	ssbp1	[ssbp1 4,274,092]
hokB	[hokB 1,491,922 &larr; 1,492,071]	-		
ybjJI	[ybjJI 885,316 &larr; 887,339]	-		
yccE	[yccE 1,064,006 &rarr; 1,065,292]	+	yccEp	[yccEp NIL &rarr; NIL]
fucAO	[fucAO 2,931,865 &larr; 2,933,854]	-	fucAp	[fucAp 2,933,854]
yeaX	[yeaX 1,885,845 &rarr; 1,886,810]	+		
ompW	[ompW 1,313,909 &rarr; 1,314,658]	+	ompWp	[ompWp 1,313,991]
gntT	[gntT 3,546,333 &rarr; 3,547,875]	+	gntTp3	[gntTp3 3,546,449]
ymgA-ariR	[ymgA-ariR 1,216,068 &rarr; 1,216,635]	+		
appY	[appY 583,567 &rarr; 584,430]	+	appYp1	[appYp1 583,567]
secG-leuU	[secG-leuU 3,322,035 &larr; 3,322,590]	-	secGp2	[secGp2 3,322,590]
gntK	[gntK 3,577,006 &larr; 3,577,645]	-	gntKp	[gntKp 3,577,645]
argX-hisR-leuT-proM	[argX-hisR-leuT-proM 3,982,289 &rarr; 3,982,841]	+	argXp	[argXp 3,982,364]
ivbL	[ivbL 3,852,835 &larr; 3,853,023]	-	ivbLp	[ivbLp 3,853,023]
pstS	[pstS 3,910,443 &larr; 3,911,568]	-	pstSp2	[pstSp2 3,911,568]
yagML	[yagML 293,220 &larr; 294,799]	-		
pspBCDE	[pspBCDE 1,368,771 &rarr; 1,370,003]	+	pspBp	[pspBp NIL &rarr; NIL]
panZ	[panZ 3,597,984 &rarr; 3,598,367]	+		
mnmA	[mnmA 1,192,667 &larr; 1,193,803]	-	mnmAp	[mnmAp NIL &larr; NIL]
yhjH	[yhjH 3,678,420 &larr; 3,679,229]	-	yhjHp	[yhjHp 3,679,229]
ydjO	[ydjO 1,812,329 &larr; 1,813,132]	-		
yqhA	[yqhA 3,148,977 &larr; 3,149,471]	-		
yfgA	[yfgA 2,641,831 &larr; 2,642,844]	-		
dacA	[dacA 662,752 &larr; 663,963]	-		
yddAB	[yddAB 1,575,247 &larr; 1,579,342]	-		
clpA	[clpA 923,080 &rarr; 925,540]	+	clpAp1	[clpAp1 923,080]
insH-1	[insH-1 274,101 &larr; 275,081]	-		
gntR	[gntR 3,577,622 &larr; 3,578,880]	-	gntRp4	[gntRp4 3,578,880]
yeaR-yoaG	[yeaR-yoaG 1,879,403 &larr; 1,879,994]	-	yeaRp	[yeaRp 1,879,994]
cvpA-purF-ubiX	[cvpA-purF-ubiX 2,428,030 &larr; 2,430,800]	-	cvpAp1	[cvpAp1 2,430,800]
nfo	[nfo 2,250,767 &rarr; 2,251,697]	+	nfop	[nfop 2,250,806]
rpoH	[rpoH 3,599,887 &larr; 3,600,870]	-	rpoHp3	[rpoHp3 3,600,870]
dmsABC	[dmsABC 940,959 &rarr; 944,896]	+		
igaA	[igaA 3,526,469 &rarr; 3,528,604]	+		
uvrD	[uvrD 3,997,971 &rarr; 4,000,177]	+	uvrDp2	[uvrDp2 3,997,971]
ilvC	[ilvC 3,957,851 &rarr; 3,959,445]	+	ilvCp	[ilvCp 3,957,912]
yicC	[yicC 3,816,645 &rarr; 3,817,603]	+	yicCp	[yicCp 3,816,645]
mdtH	[mdtH 1,124,118 &larr; 1,125,326]	-		
yfaE	[yfaE 2,348,514 &rarr; 2,348,768]	+		
hspQ	[hspQ 1,028,404 &larr; 1,028,751]	-	hspQp	[hspQp NIL &larr; NIL]
rnpB	[rnpB 3,269,962 &larr; 3,270,592]	-	rnpBp	[rnpBp 3,270,592]
degQ	[degQ 3,380,698 &rarr; 3,382,178]	+	degQp	[degQp 3,380,698]
emrE	[emrE 568,315 &rarr; 568,647]	+		
yfjW	[yfjW 2,773,318 &rarr; 2,775,021]	+		
yjbFGH	[yjbFGH 4,236,262 &rarr; 4,239,730]	+		
ytjA	[ytjA 4,612,128 &rarr; 4,612,289]	+		
yaiX	[yaiX 380,844 &larr; 382,872]	-		
hmp	[hmp 2,685,797 &rarr; 2,687,025]	+	hmpp	[hmpp 2,685,797]
minCDE	[minCDE 1,224,279 &larr; 1,226,080]	-		
dicC-ydfXW	[dicC-ydfXW 1,647,174 &larr; 1,647,876]	-	dicCp	[dicCp 1,647,876]
pepD	[pepD 254,259 &larr; 255,776]	-	pepDp2	[pepDp2 255,776]
ygcNOP	[ygcNOP 2,892,657 &rarr; 2,894,771]	+		
feaR	[feaR 1,446,378 &larr; 1,447,309]	-	feaRp2	[feaRp2 1,447,309]
tynA	[tynA 1,449,076 &larr; 1,451,409]	-	tynAp	[tynAp 1,451,409]
dkgAp // dkgA	[TU0-13824 3,156,571 &rarr; 3,157,450]	+	dkgAp	[dkgAp 3,156,571]
gatR_2	[gatR_2 2,169,693 &larr; 2,171,757]	-	gatR_2p	[gatR_2p NIL &larr; NIL]
cspE	[cspE 657,147 &rarr; 657,501]	+	cspEp1	[cspEp1 657,147]
yceI	[yceI 1,117,901 &larr; 1,118,476]	-		
mepS	[mepS 2,269,920 &rarr; 2,270,545]	+	mepSp1	[mepSp1 2,269,920]
adhE	[adhE 1,295,446 &larr; 1,298,413]	-	adhEp1	[adhEp1 1,298,413]
clpA	[clpA 923,210 &rarr; 925,540]	+	clpAp3	[clpAp3 923,210]
ecpA	[ecpA 310,084 &larr; 310,797]	-	ecpAp	[ecpAp 310,797]
ygiD	[ygiD 3,181,619 &larr; 3,182,434]	-		
yecM-cutC	[yecM-cutC 1,958,447 &larr; 1,959,846]	-		
queF	[queF 2,925,321 &rarr; 2,926,196]	+	queFp	[queFp 2,925,321]
ybaV	[ybaV 463,937 &rarr; 464,308]	+		
metNIQ	[metNIQ 220,113 &larr; 222,714]	-	metNp	[metNp 222,714]
hldE	[hldE 3,195,320 &larr; 3,196,753]	-		
glk	[glk 2,508,424 &larr; 2,509,447]	-	glkp3	[glkp3 2,509,447]
sutR	[sutR 1,506,150 &rarr; 1,506,708]	+	sutRp	[sutRp 1,506,150]
yhbQ	[yhbQ 3,299,966 &rarr; 3,300,268]	+		
ghrA	[ghrA 1,097,886 &rarr; 1,098,824]	+		
dapB	[dapB 28,288 &rarr; 29,272]	+	dapBp2	[dapBp2 28,288]
ykgH	[ykgH 324,696 &larr; 325,364]	-		
yihA	[yihA 4,050,133 &larr; 4,050,765]	-		
rpsLG-fusA-tufA	[rpsLG-fusA-tufA 3,470,145 &larr; 3,474,621]	-	rpsLp	[rpsLp 3,474,621]
cyaA	[cyaA 3,990,997 &rarr; 3,993,699]	+	cyaAp	[cyaAp 3,990,999]
glnS	[glnS 705,999 &rarr; 707,978]	+	glnSp2	[glnSp2 705,999]
eno	[eno 2,906,643 &larr; 2,907,968]	-	enop4	[enop4 2,907,968]
pstSCA	[pstSCA 3,908,495 &larr; 3,911,568]	-	pstSp2	[pstSp2 3,911,568]
manA	[manA 1,688,551 &rarr; 1,689,751]	+	manAp	[manAp 1,688,551]
zinT	[zinT 2,041,346 &rarr; 2,042,025]	+	zinTp	[zinTp 2,041,346]
rrsG-gltW-rrlG-rrfG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,448]	-	rrsGp1	[rrsGp1 2,731,448]
dsbC-recJ-prfB	[dsbC-recJ-prfB 3,035,184 &larr; 3,039,633]	-	dsbCp2	[dsbCp2 3,039,633]
rbsDACBKR	[rbsDACBKR 3,933,259 &rarr; 3,939,219]	+	rbsDp	[rbsDp 3,933,322]
ptrA	[ptrA 2,955,996 &larr; 2,959,011]	-	ptrAp	[ptrAp 2,959,011]
yibA	[yibA 3,766,307 &rarr; 3,767,179]	+	yibAp	[yibAp NIL &rarr; NIL]
glnW-metU-glnVX	[glnW-metU-glnVX 696,392 &larr; 696,860]	-	glnWp	[glnWp NIL &larr; NIL]
ybgA-phr	[ybgA-phr 738,980 &rarr; 740,925]	+	ybgAp1	[ybgAp1 738,980]
napFDAGHBC-ccmABCDEFGH	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,577]	-	napFp2	[napFp2 2,303,577]
ybeZY	[ybeZY 691,874 &larr; 693,378]	-		
pagP	[pagP 656,494 &rarr; 657,117]	+	pagPp	[pagPp 656,526]
uspG	[uspG 641,439 &larr; 641,903]	-	uspGp	[uspGp 641,903]
kbp	[kbp 2,796,337 &larr; 2,796,814]	-	kbpp4	[kbpp4 2,796,814]
glsB-yneG	[glsB-yneG 1,611,966 &larr; 1,613,251]	-		
gapA	[gapA 1,862,240 &rarr; 1,863,766]	+	gapAp7	[gapAp7 1,862,240]
sgrST-setA	[sgrST-setA 77,313 &rarr; 78,799]	+	sgrSp2	[sgrSp2 77,367]
sdaCB	[sdaCB 2,928,229 &rarr; 2,930,943]	+		
ftsZ	[ftsZ 104,636 &rarr; 106,456]	+	ftsZp4	[ftsZp4 104,636]
pldA	[pldA 4,004,814 &rarr; 4,005,836]	+	pldAp	[pldAp 4,004,814]
intD	[intD 564,815 &larr; 565,978]	-		
fabR-yijD	[fabR-yijD 4,161,067 &rarr; 4,162,130]	+		
helD	[helD 1,024,438 &rarr; 1,026,525]	+	helDp	[helDp 1,024,438]
yliI	[yliI 878,742 &rarr; 879,857]	+		
yfiK	[yfiK 2,715,423 &rarr; 2,716,010]	+		
yaiY	[yaiY 399,025 &larr; 399,333]	-		
alaE	[alaE 2,799,084 &rarr; 2,799,613]	+	alaEp	[alaEp 2,799,084]
wecH	[wecH 3,725,887 &rarr; 3,726,882]	+		
aldB	[aldB 3,754,906 &larr; 3,756,535]	-	aldBp	[aldBp 3,756,535]
fixABCX	[fixABCX 42,127 &rarr; 45,750]	+	fixAp	[fixAp 42,325]
rcnAB	[rcnAB 2,185,827 &rarr; 2,187,298]	+	rcnAp	[rcnAp 2,185,827]
insB7	[insB7 4,518,721 &rarr; 4,519,224]	+		
gcvB	[gcvB 2,942,653 &rarr; 2,942,901]	+	gcvBp	[gcvBp 2,942,696]
ymfK	[ymfK 1,202,259 &larr; 1,202,933]	-		
glpQ	[glpQ 2,349,935 &larr; 2,351,124]	-	glpQp	[glpQp 2,351,124]
ybiO	[ybiO 843,255 &larr; 845,480]	-		
dapE-ypfN	[dapE-ypfN 2,591,560 &rarr; 2,592,962]	+	dapEp	[dapEp 2,591,560]
epd-pgk-fbaA	[epd-pgk-fbaA 3,070,165 &larr; 3,073,823]	-	epdp2	[epdp2 3,073,823]
yzcX	[yzcX 3,993,850 &rarr; 3,994,335]	+		
focA-pflB	[focA-pflB 951,207 &larr; 954,503]	-	focAp2	[focAp2 954,503]
ampC	[ampC 4,377,783 &larr; 4,379,003]	-	ampCp	[ampCp 4,379,003]
dapB	[dapB 28,343 &rarr; 29,272]	+	dapBp1	[dapBp1 28,343]
adhE	[adhE 1,295,446 &larr; 1,298,309]	-	adhEp2	[adhEp2 1,298,309]
insC5CD5D5-yqiHIG	[insC5CD5D5-yqiHIG 3,186,025 &rarr; 3,191,696]	+	insC-5p	[insC-5p 3,186,040]
ypjD	[ypjD 2,747,962 &rarr; 2,748,753]	+		
metJ	[metJ 4,128,078 &larr; 4,128,466]	-	metJp3	[metJp3 4,128,466]
yjfN	[yjfN 4,416,017 &larr; 4,416,292]	-		
ubiG	[ubiG 2,339,539 &rarr; 2,340,289]	+	ubiGp	[ubiGp 2,339,539]
yraL	[yraL 3,292,475 &larr; 3,293,335]	-		
fliCX	[fliCX 2,001,912 &larr; 2,003,676]	-	fliCp	[fliCp 2,003,676]
yjjK	[yjjK 4,628,855 &larr; 4,630,522]	-		
ydfV	[ydfV 1,645,897 &rarr; 1,646,202]	+		
rdlD	[rdlD 3,700,136 &rarr; 3,700,199]	+	rdlDp	[rdlDp 3,700,136]
trpR	[trpR 4,632,703 &rarr; 4,633,144]	+	trpRp	[trpRp 4,632,704]
yciCB	[yciCB 1,312,261 &larr; 1,313,698]	-	yciCp	[yciCp 1,313,698]
hisS	[hisS 2,639,301 &larr; 2,640,642]	-	hisSp	[hisSp 2,640,642]
cadBA	[cadBA 4,356,470 &larr; 4,360,106]	-	cadBp	[cadBp 4,360,106]
mhpR-lacI	[mhpR-lacI 366,428 &larr; 368,536]	-	mhpRp1	[mhpRp1 368,536]
ynfP	[ynfP 1,652,728 &larr; 1,652,838]	-		
tpx	[tpx 1,388,305 &larr; 1,388,844]	-	tpxp	[tpxp 1,388,844]
pyrLBI	[pyrLBI 4,470,986 &larr; 4,472,553]	-	pyrLp2	[pyrLp2 4,472,553]
hrpA	[hrpA 1,483,061 &rarr; 1,486,963]	+		
yabI	[yabI 71,271 &rarr; 72,115]	+	yabIp	[yabIp 71,271]
efeOB	[efeOB 1,082,243 &rarr; 1,084,647]	+		
dicB-ydfDE-insD-intQ	[dicB-ydfDE-insD-intQ 1,649,597 &rarr; 1,652,708]	+	dicBp	[dicBp 1,649,597]
ddlA	[ddlA 399,829 &larr; 400,923]	-		
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,308,999 &larr; 3,318,375]	-	metYp2	[metYp2 3,318,375]
ydiY	[ydiY 1,805,325 &larr; 1,806,083]	-		
yjeNO	[yjeNO 4,385,393 &rarr; 4,386,018]	+		
pabA	[pabA 3,490,266 &larr; 3,490,851]	-	pabAp	[pabAp 3,490,851]
pykF	[pykF 1,755,617 &rarr; 1,757,110]	+	pykFp3	[pykFp3 1,755,617]
alaA-yfbR	[alaA-yfbR 2,407,561 &rarr; 2,409,461]	+		
pntAB	[pntAB 1,674,972 &larr; 1,677,975]	-	pntAp	[pntAp 1,677,975]
yjbB	[yjbB 4,227,602 &rarr; 4,229,362]	+	yjbBp	[yjbBp 4,227,602]
gadEF	[gadEF 3,658,242 &rarr; 3,659,082]	+	gadEp1	[gadEp1 3,658,242]
mcbA	[mcbA 841,796 &larr; 842,153]	-	mcbAp5	[mcbAp5 842,153]
fkpA	[fkpA 3,476,607 &larr; 3,477,525]	-	fkpAp1	[fkpAp1 3,477,525]
dapD	[dapD 185,090 &larr; 185,977]	-	dapDp	[dapDp 185,977]
deaD	[deaD 3,305,971 &larr; 3,307,860]	-		
arcA	[arcA 4,639,539 &larr; 4,640,512]	-	arcAp2	[arcAp2 4,640,512]
yghU	[yghU 3,138,700 &rarr; 3,139,593]	+	yghUp	[yghUp 3,138,700]
tyrP	[tyrP 1,989,580 &rarr; 1,990,892]	+	tyrPp1	[tyrPp1 1,989,645]
nupX	[nupX 2,252,895 &larr; 2,254,145]	-		
ynjI	[ynjI 1,843,831 &larr; 1,844,900]	-	ynjIp	[ynjIp 1,844,900]
gpmM-envC-yibQ	[gpmM-envC-yibQ 3,785,187 &rarr; 3,789,060]	+	gpmMp2	[gpmMp2 3,785,187]
yeiQ	[yeiQ 2,266,245 &rarr; 2,267,711]	+		
ogrK	[ogrK 2,167,302 &larr; 2,167,520]	-		
narP	[narP 2,290,422 &rarr; 2,291,147]	+	narPp	[narPp 2,290,422]
gadAX	[gadAX 3,664,915 &larr; 3,667,607]	-	gadAp	[gadAp 3,667,607]
yhcN	[yhcN 3,385,538 &rarr; 3,385,801]	+		
ymdF	[ymdF 1,068,081 &rarr; 1,068,254]	+		
rfaDFCL	[rfaDFCL 3,793,865 &rarr; 3,798,207]	+	rfaDp3	[rfaDp3 3,793,865]
mdtL	[mdtL 3,891,615 &rarr; 3,892,790]	+		
yjjW	[yjjW 4,614,680 &larr; 4,615,543]	-		
rpsA-ihfB	[rpsA-ihfB 961,717 &rarr; 964,173]	+	rpsAp1	[rpsAp1 961,717]
aroF-tyrA	[aroF-tyrA 2,738,912 &larr; 2,741,201]	-	aroFp	[aroFp 2,741,201]
pyrG-eno	[pyrG-eno 2,906,643 &larr; 2,909,797]	-	pyrGp1	[pyrGp1 2,909,797]
crr	[crr 2,535,610 &rarr; 2,536,380]	+	crrpI	[crrpI 2,535,610]
yphG	[yphG 2,679,464 &larr; 2,682,745]	-		
yggM	[yggM 3,098,558 &larr; 3,099,565]	-		
yhjB	[yhjB 3,671,292 &larr; 3,671,894]	-		
nuoABCEFGHIJKLMN	[nuoABCEFGHIJKLMN 2,390,005 &larr; 2,405,335]	-	nuoAp1	[nuoAp1 2,405,335]
nfuA	[nfuA 3,545,596 &rarr; 3,546,199]	+	nfuAp1	[nfuAp1 3,545,596]
rhtB	[rhtB 4,008,439 &larr; 4,009,059]	-		
pykA	[pykA 1,937,544 &rarr; 1,939,091]	+	pykAp1	[pykAp1 1,937,544]
hisBHAFI	[hisBHAFI 2,093,360 &rarr; 2,097,225]	+	hisBp	[hisBp 2,093,360]
rfaZ-waaU	[rfaZ-waaU 3,798,239 &larr; 3,800,226]	-	waaZp	[waaZp NIL &larr; NIL]
yciK-btuR	[yciK-btuR 1,327,767 &larr; 1,329,112]	-		
fhuACDB	[fhuACDB 167,484 &rarr; 173,444]	+		
yhjD	[yhjD 3,673,362 &rarr; 3,674,375]	+		
ldtE	[ldtE 1,757,721 &larr; 1,758,725]	-		
dksA-yadB	[dksA-yadB 159,186 &larr; 160,657]	-	dksAp2	[dksAp2 160,657]
tas	[tas 2,971,597 &rarr; 2,972,637]	+		
ubiX	[ubiX 2,428,030 &larr; 2,428,656]	-	ubiXp	[ubiXp NIL &larr; NIL]
ptsHI-crr	[ptsHI-crr 2,533,437 &rarr; 2,536,380]	+	ptsHp5	[ptsHp5 2,533,498]
xanQ-guaD-ghxQ	[xanQ-guaD-ghxQ 3,024,351 &rarr; 3,028,488]	+		
rihB	[rihB 2,254,245 &larr; 2,255,252]	-	rihBp	[rihBp 2,255,252]
ade	[ade 3,843,910 &rarr; 3,845,730]	+	adep	[adep 3,843,910]
nei	[nei 745,904 &rarr; 746,726]	+	neip	[neip 745,904]
flhDC	[flhDC 1,977,200 &larr; 1,978,395]	-	flhDp	[flhDp 1,978,395]
acnB	[acnB 131,564 &rarr; 134,212]	+	acnBp2	[acnBp2 131,564]
glgCAP	[glgCAP 3,564,082 &larr; 3,569,571]	-	glgCp3	[glgCp3 3,569,571]
rpnA	[rpnA 3,543,167 &rarr; 3,544,045]	+		
nmpC	[nmpC 574,529 &larr; 576,870]	-	nmpCp	[nmpCp 576,870]
dacC	[dacC 880,653 &rarr; 881,929]	+	dacCp	[dacCp 880,653]
mglBAC	[mglBAC 2,236,743 &larr; 2,240,566]	-	mglBp	[mglBp 2,240,566]
ytjB-lplA	[ytjB-lplA 4,623,101 &larr; 4,624,799]	-	ytjBp	[ytjBp 4,624,799]
bglG	[bglG 3,905,636 &larr; 3,906,697]	-	bglGp1	[bglGp1 3,906,697]
yieP-hsrA	[yieP-hsrA 3,939,185 &larr; 3,941,327]	-		
azoR	[azoR 1,482,255 &larr; 1,482,904]	-	azoRp	[azoRp 1,482,904]
yojI	[yojI 2,306,972 &larr; 2,308,641]	-	yojIp	[yojIp 2,308,641]
insN-1p // insO1 // insI1 // insN	[TU0-12862 270,226 &rarr; 272,190]	+	insN-1p	[insN-1p 270,226]
yidL	[yidL 3,860,253 &rarr; 3,861,176]	+	yidLp	[yidLp 3,860,253]
yhbO	[yhbO 3,298,974 &rarr; 3,299,492]	+		
gpmA	[gpmA 786,843 &larr; 787,670]	-	gpmAp3	[gpmAp3 787,670]
pdeR	[pdeR 1,344,757 &larr; 1,346,843]	-	pdeRp	[pdeRp 1,346,843]
