Name	Direction	TU_start	TU_end	Genes
cecR-ybhGFSR	-	825002	830669	cecR,ybhG,ybhF,ybhS,ybhR
cedA	-	1813421	1813742	cedA
cfa	+	1741201	1742561	cfa
chaA	-	1270749	1271849	chaA
chaBC	+	1272119	1273202	chaB,chaC
chaC	+	1272422	1273202	chaC
chbBCARFG	-	1816386	1821726	chbG,chbF,chbR,chbA,chbC,chbB
chiA	-	3467160	3469896	chiA
chiQ	+	709790	710116	chiQ
chiX	+	507204	507287	chiX
chiZPQ	+	708236	710116	chiZ,chiQ,chiP
cho	+	1823492	1824402	cho
chpSB	+	4448402	4449042	chpS,chpB
cirA	-	2244778	2246942	cirA
citCDEFXG	-	646631	652039	citG,citX,citF,citE,citD,citC
citR-ybdNM	-	634747	637618	ybdM,ybdN,citR
citT	-	645117	646632.0	citT
clcA	+	175052.0	176528	clcA
clcB	+	1665315	1666571	clcB
clpA	+	923080	925540	clpA
clpB	-	2731557	2734205	clpB
clpPX	+	456577	458755	clpP,clpX
clpS	+	922751	923233	clpS
clpX-lon	+	457202	461242	lon,clpX
clsA-yciU	-	1306821	1308673	yciU,clsA
clsC	+	1106292	1107776	clsC
cmk-rpsA	+	961165	963716	rpsA,cmk
cmr	+	883569	884938	mdfA
cmtBA-yggPF-fumE-yggC	-	3073976	3079330	cmtB,cmtA,yggP,yggF,fumE,yggC
cnu	+	1704761.0	1705164	cnu
coaA	-	4174076	4175107	coaA
coaE-zapD-yacG	-	111649	113219	coaE,zapD,yacG
cobUST	-	2063388	2065972	cobT,cobS,cobU
codBA	+	354884	357454	codB,codA
cof	+	467412	468230	cof
comR	-	1168200	1168844	comR
copA	-	508875	511411	copA
corA	+	4001194	4002376	corA
cpdB	-	4434622	4436629	cpdB
cpxPQ	+	4105785	4106387	cpxQ,cpxP
cpxRA	-	4103602	4105686	cpxA,cpxR
cra	+	87947	89032	cra
crcB	-	657555	657998.0	crcB
creABC	+	4635243	4638120	creC,creB,creA
creABCD	+	4635477	4639572	creA,creB,creC,creD
creD	+	4638160	4639572	creD
crp	+	3485953	3486792	crp
crr	+	2535480	2536380	crr
csdAE	+	2943337	2944985	csdE,csdA
csgA	+	1104236	1104902	csgA
csgBAC	+	1103859	1105293	csgC,csgB,csgA
csgC	+	1104931	1105293	csgC
csgDEFG	-	1100851	1103344	csgG,csgF,csgE,csgD
csiD-ygaF-gabDTP	+	2788927	2795653	gabP,gabT,gabD,lhgD,glaH
csiE	+	2665401	2666715	csiE
cspA	+	3719889	3720313	cspA
cspB	-	1641339	1641715	cspB
cspD	-	922366	922676	cspD
cspE	+	657147	657501	cspE
cspF	+	1641765.0	1642067	cspF
cspG	+	1051305.0	1051673	cspG
cspH	-	1050963	1051307.0	cspH
cspI	-	1638455	1638812	cspI
csrA	-	2818961	2819373	csrA
csrAp3 // csrA	-	2818961	2819273	csrA
csrB	-	2924156	2924524	csrB
csrC	+	4051036	4051281	csrC
csrD	-	3401392	3403425.0	csrD
cstA	+	629855	632091	cstA
cueO	+	137045	138633	cueO
cueR	+	513974.0	514400	cueR
curA	+	1519027	1520064	curA
cusCFBA	+	595573	601857	cusA,cusB,cusF,cusC
cusRS	-	593328	595462	cusS,cusR
cutA	-	4365018	4365392	cutA
cvpA-purF-ubiX	-	2428030	2430800	ubiX,purF,cvpA
cvrA	-	1240335	1242164.0	cvrA
cyaA	+	3990774	3993699	cyaA
cyaR	+	2167114	2167200	cyaR
cyaY	-	3993739	3994083.0	cyaY
cybB	+	1490766.0	1491432	cybB
cybC	+	4459488	4459855	cybC
cycA	+	4429780	4431276	cycA
cydAB	+	771170	774181	cydA,cydB
cydDC	-	927474	931031	cydC,cydD
cynR	-	357791	358709	cynR
cynTS	+	358773	360278	cynS,cynT
cynTSX	+	358773	361236	cynT,cynS,cynX
cyoABCDE	-	446815	451653	cyoE,cyoD,cyoC,cyoB,cyoA
cysB	+	1333788	1334874	cysB
cysDNC	-	2873234	2876368	cysC,cysN,cysD
cysE	-	3781741	3782681	cysE
cysG	+	3497754	3499201	cysG
cysH	-	2887578	2888342	cysH
cysJIH	-	2887578	2891964	cysH,cysI,cysJ
cysK	+	2532344	2533424	cysK
cysPUWAM	-	2538672	2543557	cysM,cysA,cysW,cysU,cysP
cysQ	+	4436755	4437495	cysQ
cysS	+	554577	555996	cysS
cysZ	+	2531383.0	2532224	cysZ
cytR	-	4123431	4124509	cytR
cyuPA	-	3255341	3258010	cyuP,cyuA
dacA	-	662752	664001.0	dacA
dacB	+	3328857.0	3330396	dacB
dacC	+	880653	881929	dacC
dacD	-	2081341	2082547	dacD
dadAX	+	1237509	1239949	dadX,dadA
dam-rpe-gph-trpS	-	3512634	3516252	trpS,gph,rpe,dam
damX-dam-rpe-gph-trpS	-	3512634	3517600	trpS,gph,rpe,dam,damX
dapA-nlpB	-	2597803	2599784	bamC,dapA
dapB	+	28288	29272	dapB
dapD	-	185090	185977	dapD
dapE-ypfN	+	2591560	2592962	ypfN,dapE
dauA	-	1259124	1260803	dauA
dcd	-	2141634	2142245	dcd
dcm-vsr	-	2030448	2032317	vsr,dcm
dcp	-	1625335	1627422.0	dcp
dcrB	+	3609767.0	3610512	dcrB
dctA	-	3682161	3683498	dctA
dcuA	-	4365472	4366843	dcuA
dcuB-fumB	-	4345631	4349091	fumB,dcuB
dcuC	-	654583	656083	dcuC
dcuD	+	3374583	3376236	dcuD
dcuR	-	4349315	4350565	dcuR
dcuSR	-	4349315	4351685	dcuR,dcuS
dcyD-tcyLN	-	1997062	1999508	dcyD,tcyL,tcyN
ddlA	-	399829	400923	ddlA
ddpXABCDF	-	1557112	1563249	ddpF,ddpD,ddpC,ddpB,ddpA,ddpX
deaD	-	3305971	3307909.0	deaD
decR	+	468352	468841	decR
def-fmt	+	3433650	3435161	def,fmt
degP	+	180845	182308	degP
degQ	+	3380698	3382178	degQ
degQS	+	3380654	3383267	degS,degQ
degS	+	3382173	3383316	degS
deoABD	+	4618199	4621602	deoD,deoB,deoA
deoBD	+	4619567	4621659	deoD,deoB
deoCABD	+	4616679	4621659	deoC,deoA,deoB,deoD
deoR	-	881976	882764	deoR
dfp	+	3812703	3813951	dfp
dgcF	-	1610907	1611854	dgcF
dgcJ	+	1872041	1873531	dgcJ
dgcQ	-	2026323	2028017	dgcQ
dgcZ	-	1622960	1623879	dgcZ
dgkA	+	4256457	4257005	dgkA
dgoRKADT	-	3870438	3875185	dgoR,dgoK,dgoA,dgoD,dgoT
dgt	+	179196	180754	dgt
dhaKLM	-	1247696	1250944	dhaM,dhaL,dhaK
dhaM	-	1247696	1249144	dhaM
dhaR	+	1251003	1252985	dhaR
diaA	+	3295809	3296399	diaA
dicA	+	1647934	1648341	dicA
dicB-ydfDE-insD-intQ	+	1649597	1652708	intQ,insD7,ydfE,ydfD,dicB
dicC-ydfXW	-	1647174	1647876	dicC,ydfX,ydfW
dicF	+	1649382	1649434	dicF
digH	-	1567504	1568823	digH
dinB-yafNOP	+	250880	253161	yafP,yafO,yafN,dinB
dinD	+	3817699	3818584	dinD
dinG-ybiB	+	833073	836210	ybiB,dinG
dinI	-	1121242	1121509	dinI
dinJ-yafQ	-	245961	246615	dinJ,yafQ
dinQ	-	3647652	3647982	dinQ
djlA	+	57268.0	58179	djlA
dkgAp // dkgA	+	3156571	3157450	dkgA
dkgB	+	229098	229970	dkgB
dksA-gluQ	-	159186	160751	gluQ,dksA
dksA-yadB	-	159186	160722	gluQ,dksA
dld	+	2222082.0	2223987	dld
dmlA	+	1881712.0	1882997	dmlA
dmlR	-	1880886	1881855.0	dmlR
dmsABC	+	940823	944896	dmsA,dmsB,dmsC
dmsC	+	943957	944896	dmsC
dnaAN-recF	-	3880148	3883961	recF,dnaN,dnaA
dnaB	+	4264283	4265729	dnaB
dnaKJ	+	12048	15298	tpke11,dnaK,dnaJ
dnaN-recF	-	3880148	3882733	recF,dnaN
dnaQ	+	235934.0	236798	dnaQ
dnaTC	-	4600139	4601615	dnaC,dnaT
dnaTC-yjjA	-	4599620	4601615	yjjA,dnaC,dnaT
dnaX	+	492056	494023	dnaX
dolP	+	3296072	3296984	dolP
dosCP	-	1563276	1567140	dosP,dosC
dpiBA	+	651984	654542	dpiA,dpiB
dppABCDF	-	3701864	3707870	dppF,dppD,dppC,dppB,dppA
dppBCDF	-	3701864	3705790	dppF,dppD,dppC,dppB
dps	-	848408	848950	dps
dsbA	+	4043377	4044044	dsbA
dsbB	-	1232500	1233147.0	dsbB
dsbC	-	3038112	3038834	dsbC
dsbC-recJ-prfB	-	3035184	3039633	prfB,recJ,dsbC
dsbD-yjdC	-	4362733	4365042	dsbD,dicD
dsbGp // dsbG	-	637827	638800	dsbG
dsdA	+	2479121	2480530	dsdA
dsdC	-	2476694	2477746	dsdC
dsdXA	+	2477821	2480530	dsdX,dsdA
dsrA	-	2025223	2025313	dsrA
dsrB	-	2024635	2024843.0	dsrB
dtpB	+	3640862	3642331	dtpB
dtpC	-	4354954	4356411	dtpC
dtpD	-	741075	742623.0	dtpD
dusA	+	4261600.0	4262706	dusA
dusB-fis	+	3410246	3411626	dusB,fis
dusC	-	2229438	2230395	dusC
dut-slmA	+	3813852	3815090	slmA,dut
dxr-uppS-cdsA	+	193338.0	196534	cdsA,ispU,dxr
eaeH-insE1EF1F1	+	314357	316453	insF1,insE1,insEF1,eaeH
eamA	-	1620238	1621137	eamA
ebgAC	+	3222551	3226171	ebgA,ebgC
ebgR	+	3221437	3222449	ebgR
ecnAB	+	4376317	4376699	ecnB,ecnA
ecnB	+	4376509	4376731	ecnB
eco	+	2303797.0	2304393	eco
ecpA	-	310084	310797	ecpA
ecpBCDE	-	304495	310119	ecpB,ecpC,ecpD,ecpE
ecpR	-	310746	311393	matA
eda	-	1932085	1933109	eda
edd-eda	-	1932085	1934713	eda,edd
efeOB	+	1082243	1084647	efeB,efeO
efeU	+	1081307	1082185	efeU
efp	+	4375567	4376265	efp
elaA	-	2381082	2381686.0	elaA
elaB	-	2380722	2381053	elaB
elaD	+	2382654.0	2383924	elaD
elbB-mtgA	-	3349081	3350459	elbB,mtgA
elfA	+	997814.0	998407	elfA
elfDCG-ycbUVF	+	998490	1004657	ycbF,ycbV,ycbU,elfG,elfC,elfD
emrD	+	3853845	3855106	emrD
emrE	+	568315	568647	emrE
emrKY	-	2480638	2483448	emrY,emrK
emrRAB	+	2810747	2814154	mprA,emrA,emrB
emtA	+	1243125.0	1243791	emtA
endA	+	3090275	3091123	endA
eno	-	2906643	2908846	eno
entCEBA-ybdB	+	624831	629713	entC,entE,entB,entA,entH
entH	+	629292	629713	entH
entS	+	622253	623550	entS
envR	-	3412803	3413601.0	envR
envY-ompT	-	584680	586908	ompT,envY
epd-pgk	-	3071431	3073823	pgk,epd
epd-pgk-fbaA	-	3070165	3073823	fbaA,pgk,epd
epmA	+	4382618	4383620	epmA
epmB	-	4374629	4375703.0	epmB
eptA	-	4333947	4335590	eptA
eptB	-	3708784	3710581	eptB
eptC	-	4148532	4150265	eptC
erpA	+	176561	176954	erpA
esrE	+	4019978	4020229	esrE
essD-ybcS-rzpD	+	576873	578568	rzpD,rrrD,essD
essQ-ydfR-rrrQ-rzpQ	-	1639030	1640585	essQ,ydfR,rrrQ,rzpQ
eutBCLKR	-	2554130	2558679	eutB,eutC,eutL,eutK,eutR
eutHA	-	2565481	2568107	eutH,eutA
eutNEJG	-	2568324	2572050	eutN,eutE,eutJ,eutG
eutSPQTDM	-	2572157	2575805	eutS,eutP,eutQ,eutT,eutD,eutM
evgAS	+	2483631	2487967	evgS,evgA
exbBD	-	3150552	3152014	exbD,exbB
exbD	-	3150552	3151390	exbD
exoD	-	566098	566361	exoD
exuR	+	3246618	3247428	exuR
exuT	+	3245002	3246522	exuT
fabA	-	1015952	1016498	fabA
fabB	-	2440283	2441641	fabB
fabDG-acpP	+	1149728	1151851	acpP,fabG,fabD
fabF	+	1151939	1153180	fabF
fabG-acpP	+	1150670	1151851	acpP,fabG
fabHDG	+	1148516	1151404	fabH,fabD,fabG
fabI	-	1350251	1351121	fabI
fabR-yijD	+	4161067	4162130	yijD,fabR
fabZ	+	202101	202556	fabZ
fadBA	-	4027609	4031013	fadA,fadB
fadD-sroD	-	1888017	1889807	sroD,fadD
fadE	-	240859	243406	fadE
fadH	+	3231624	3233683	fadH
fadIJ	-	2457015	2460511	fadJ,fadI
fadL	+	2461205	2462646	fadL
fadM	+	464360	464800	fadM
fadR	+	1234905	1235698	fadR
fbaB	-	2177512	2178667	fbaB
fbp	-	4454611	4455609	fbp
fdhD	+	4086016	4086849	fdhD
fdhF	-	4297178	4299407	fdhF
fdnGHI	+	1547372	1551991	fdnG,fdnH,fdnI
fdoGHI-fdhE	-	4080299	4085822	fdhE,fdoI,fdoH,fdoG
fdrA-ylbEF-ybcF	+	546506.0	551332	ybcF,ylbF,ylbE,fdrA
feaB	+	1447370	1449063	feaB
feaR	-	1446378	1447394	feaR
fecABCDE	-	4510690	4516727	fecE,fecD,fecC,fecB,fecA
fecIR	-	4516764	4518282	fecR,fecI
feoABC	+	3540057	3542964	feoC,feoA,feoB
fepA-entD	-	609459	612667.0	entD,fepA
fepB	-	623554	624727	fepB
fepDGC	-	619384	622234	fepC,fepG,fepD
fes-ybdZ-entF-fepE	+	612687	619387	ybdZ,fes,entF,fepE
fetAB	+	515903	517362	fetB,fetA
ffh	-	2746209	2747853	ffh
ffs	+	476288.0	476561	ffs
fhuACDB	+	167442	173444	fhuA,fhuC,fhuD,fhuB
fhuE	-	1159325	1161647	fhuE
fhuF	-	4604875	4605752	fhuF
fieF	+	4106432.0	4107371	fieF
fimAICDFGH	+	4542694	4549710	fimR2,fimD,fimH,fimG,fimF,fimC,fimI,fimA
fimB	+	4540667.0	4541559	fimB
fimE	+	4541871	4542902	fimE
fimZ	-	563848	564607.0	fimZ
fiu	-	839249	841648	fiu
fixABCX	+	42325	45750	fixX,fixC,fixB,fixA
fklB	+	4428935	4429555	fklB
fkpA	-	3476607	3477525	fkpA
fldA-uof-fur	-	710118	711521	uof,fur,fldA
fldB	+	3039822	3040376	fldB
flgAMN	-	1129414	1130885	flgN,flgM,flgA
flgBCDEFGHIJ	+	1130993	1138312	flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ
flgK	+	1138351	1141063	flgO,flgL,flgK
flgMN	-	1129414	1130165	flgN,flgM
flhBAE	-	1962580	1966216	flhE,flhA,flhB
flhDC	-	1977200	1978577	flhC,flhD
fliAZY	-	1999541	2001819	tcyJ,fliZ,fliA
fliCX	-	2001912	2003676	fliX,fliC
fliDST	+	2003817	2006165	fliD,fliS,fliT
fliE	-	2012700	2013093	fliE
fliFGHIJK	+	2013146	2019513	fliK,fliJ,fliI,fliH,fliG,fliF
fliLMNOPQR	+	2019584	2023678	fliL,fliM,fliN,fliO,fliP,fliQ,fliR
flk	+	2437912	2438945	flk
flu	+	2071474	2074658	flu
flxA	+	1646388	1646737	flxA
fnr	-	1398774	1399552	fnr
fnrS	+	1409129	1409250	fnrS
focA-pflB	-	951207	954814	pflB,focA
folA	+	49799	50302	folA
folB	-	3204221	3204648.0	folB
folC-dedD	-	2430850	2432942	folC,dedD
folD-ybcJ	-	556661	557781	folD,ybcJ
folE-yeiB	-	2241810	2243848	folE,yeiB
folP-glmM	-	3322733	3324911	folP,glmM
folX-yfcH	+	2421295	2422601	yfcH,folX
fpr	-	4113726	4114499	fpr
frc	-	2492004	2493439	frc
frdABCD	-	4378966	4382412	frdD,frdC,frdB,frdA
fre	+	4026443	4027228	fre
frlABCDR	+	3499835	3504783	frlR,frlD,frlC,frlB,frlA
frlR	+	3504033	3504783	frlR
frmRAB	-	377535	379881	frmR,frmA,frmB
frr	+	192814	193498	frr
frsA	+	256502	257771	frsA
fruBKA	-	2259719	2263597	fruA,fruK,fruB
frvABXR	-	4088107	4092823	frvA,frvB,frvX,frvR
frwCB	+	4142530	4143944	frwB,frwC
frwD	+	4147138	4147479	frwD
fryBC-ypdFE-fryA	-	2501990	2508242	fryB,fryC,ypdF,ypdE,fryA
fsaA	+	863530.0	864304	fsaA
fsr	-	503476	504852.0	fsr
ftnA	+	1988682	1989213	ftnA
ftnB	+	1986775	1987428	ftnB
ftp	-	2310479	2311534	ftp
ftsAZ	+	103561	106456	ftsZ,ftsA
ftsB	-	2872509	2872901.0	ftsB
ftsK	+	932929	937213	ftsK
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	90688	107474	lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL
ftsP	-	3161257	3162866.0	ftsP
ftsQ	+	102742	103985	ftsQ
ftsQAZ	+	102867	106456	ftsQ,ftsA,ftsZ
ftsYEX	-	3601028	3604243	ftsX,ftsE,ftsY
ftsZ	+	104636	106456	ftsZ
fucAO	-	2931865	2933854	fucO,fucA
fucO	-	2931865	2933223	fucO
fucPIKUR	+	2934119	2940099	fucP,fucI,fucK,fucU,fucR
fucR	+	2939338	2940099	fucR
fucU	+	2938837	2939310	fucU
fumA	-	1686705	1688440	fumA
