TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
yqaE	-	yqaE-kbp	-
yafNOP	+	dinB-yafNOP	+
yafNOP	+	dinB-yafNOP	+
citR-ybdNM	-	ybdN	-
citR-ybdNM	-	ybdO	-
citR-ybdNM	-	ybdM1	-
ssb	+	ssb	+
ssb	+	ssb	+
hokB	-	mokB1	-
yccE	+	cbpA-cbpM	-
yccE	+	cbpA-cbpM	-
fucAO	-	fucO	-
gntT	+	gntT	+
gntT	+	gntT	+
ymgA-ariR	+	ycgZ-ymgA-ariR-ymgC	+
ymgA-ariR	+	ycgZ-ymgA-ariR-ymgC	+
ymgA-ariR	+	ariR	+
appY	+	appY	+
secG-leuU	-	leuU	-
secG-leuU	-	secG1	-
secG-leuU	-	secG2	-
secG-leuU	-	secG-leuU	-
gntK	-	gntR	-
gntK	-	gntR	-
gntK	-	gntU1	-
gntK	-	gntR	-
gntK	-	gntKU	-
gntK	-	gntRKU	-
argX-hisR-leuT-proM	+	aslB	+
ivbL	-	ivbL-ilvBN	-
ivbL	-	ivbL-ilvBN-uhpABC1	-
pstS	-	pstSCA	-
pstS	-	pstSCA	-
pstS	-	pstSCAB-phoU	-
pstS	-	pstS	-
pstS	-	pstCAB-phoU	-
pstS	-	pstCAB-phoU	-
pstS	-	pstSCAB-phoU	-
pspBCDE	+	pspABCDE	+
pspBCDE	+	pspE	+
panZ1	+	panZ2	+
mnmA	-	hflD-purB	-
ydjO1	-	ydjO2	-
ydjO1	-	ydjO3	-
ydjO1	-	ydjO4	-
ydjO1	-	ydjO5	-
ydjO2	-	ydjO3	-
ydjO2	-	ydjO4	-
ydjO2	-	ydjO5	-
ydjO3	-	ydjO4	-
ydjO3	-	ydjO5	-
ydjO4	-	ydjO5	-
yqhA1	-	yqhA2	-
yfgA	-	ispG-sroE1	-
yfgA	-	ispG-sroE2	-
yfgA	-	ispG-sroE3	-
dacA1	-	dacA2	-
clpA	+	clpA	+
clpA	+	clpS	+
clpA	+	clpA	+
gntR	-	gntR	-
gntR	-	gntR	-
gntR	-	gntKU	-
gntR	-	gntRKU	-
cvpA-purF-ubiX	-	ubiX	-
cvpA-purF-ubiX	-	cvpA-purF-ubiX	-
nfo	+	yeiI1	+
rpoH	-	rpoH	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
rpoH	-	rpoH	-
dmsABC	+	dmsC	+
dmsABC	+	dmsABC	+
uvrD	+	uvrD	+
yfaE1	+	yfaE2	+
yfaE1	+	nrdAB-yfaE	+
yfaE2	+	nrdAB-yfaE	+
rnpB	-	garPLRK-rnpB	-
degQ	+	degS	+
degQ	+	degQS	+
yjbFGH	+	yjbEFGH	+
yjbFGH	+	yjbEFGH	+
yaiX	-	yaiO1	-
yaiX	-	yaiO2	-
yaiX	-	yaiO3	-
yaiX	-	insC1CD1D1	+
yaiX	-	yaiP1	-
pepD	-	pepD	-
pepD	-	pepD	-
feaR	-	feaR	-
feaR	-	feaR	-
feaR	-	feaR	-
dkgAp // dkgA	+	yqhD-dkgA	+
gatR_2	-	insE5EF5F5	+
cspE	+	cspE	+
yceI1	-	yceJI	-
yceI1	-	yceJI	-
mepS	+	mepS	+
adhE	-	adhE	-
adhE	-	adhE	-
clpA	+	clpS	+
clpA	+	clpA	+
ecpA	-	ecpBCDE	-
ecpA	-	ecpR	-
ygiD1	-	ygiD2	-
ygiD2	-	zupT	+
yecM-cutC1	-	yecM-cutC2	-
yecM-cutC1	-	micL	-
yecM-cutC2	-	micL	-
queF	+	syd1	-
ybaV1	+	ppiD	+
ybaV1	+	ppiD	+
glk	-	glk	-
glk	-	glk	-
glk	-	glk	-
yhbQ1	+	ubiT-yhbS	-
yhbQ1	+	ubiT-yhbS	-
dapB	+	dapB	+
rpsLG-fusA-tufA	-	tufA	-
rpsLG-fusA-tufA	-	fusA-tufA	-
rpsLG-fusA-tufA	-	tufA	-
cyaA	+	cyaA	+
cyaA	+	cyaA	+
glnS	+	glnS	+
glnS	+	glnS	+
eno	-	pyrG-eno	-
eno	-	eno	-
eno	-	eno	-
eno	-	eno	-
eno	-	eno	-
eno	-	pyrG-eno	-
eno	-	eno	-
eno	-	pyrG-eno	-
eno	-	eno	-
eno	-	eno	-
pstSCA	-	pstSCA	-
pstSCA	-	pstSCAB-phoU	-
pstSCA	-	pstB-phoU	-
pstSCA	-	pstS	-
pstSCA	-	pstCAB-phoU	-
pstSCA	-	pstB-phoU	-
pstSCA	-	pstCAB-phoU	-
pstSCA	-	pstSCAB-phoU	-
rrsG-gltW-rrlG-rrfG	-	rrsG-gltW-rrlG-rrfG	-
rrsG-gltW-rrlG-rrfG	-	rrsG-gltW-rrlG-rrfG	-
rrsG-gltW-rrlG-rrfG	-	rrfG	-
dsbC-recJ-prfB	-	xerD-dsbC-recJ	-
dsbC-recJ-prfB	-	dsbC	-
dsbC-recJ-prfB	-	xerD-dsbC-recJ	-
dsbC-recJ-prfB	-	xerD1	-
dsbC-recJ-prfB	-	xerD2	-
rbsDACBKR	+	yieP-hsrA	-
ptrA	-	ptrA-recBD	-
yibA	+	rhsA-yibA	+
glnW-metU-glnVX	-	metT-leuW-glnUW-metU-glnVX	-
ybgA-phr	+	ybgA-phr	+
ybgA-phr	+	phr	+
napFDAGHBC-ccmABCDEFGH	-	napFDAGHBC	-
napFDAGHBC-ccmABCDEFGH	-	napFDAGHBC-ccmABCDEFGH	-
napFDAGHBC-ccmABCDEFGH	-	ccmABCDEFGH	-
ybeZY	-	ybeZYX-lnt	-
kbp	-	yqaE-kbp	-
glsB-yneG	-	sad-glsB-yneG1	-
gapA	+	gapA	+
gapA	+	gapA	+
gapA	+	gapA	+
gapA	+	gapA-yeaD	+
gapA	+	msrB	-
gapA	+	gapA	+
sgrST-setA	+	sgrST-setA	+
sdaCB	+	ygdG1	+
ftsZ	+	ftsZ	+
ftsZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	ftsQAZ	+
ftsZ	+	stfZ	-
ftsZ	+	ftsQAZ	+
ftsZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	ftsZ	+
ftsZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	stfZ	-
ftsZ	+	stfZ	-
ftsZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
pldA	+	recQ	+
intD1	-	exoD	-
yliI	+	gstB	-
yaiY1	-	yaiY2	-
yaiY1	-	yaiZ	+
yaiY2	-	yaiZ	+
wecH	+	ysaB1	-
fixABCX	+	yaaU	+
rcnAB	+	rcnR	-
rcnAB	+	rcnB1	+
insB7	+	insA-71	+
insB7	+	insA-72	+
ymfK	-	ymfJ3	-
glpQ	-	glpTQ	-
ybiO1	-	ybiO2	-
ybiO1	-	ybiN	+
ybiO2	-	ybiN	+
dapE-ypfN	+	yffB-dapE-ypfN	+
epd-pgk-fbaA	-	epd-pgk	-
epd-pgk-fbaA	-	epd-pgk	-
epd-pgk-fbaA	-	epd-pgk-fbaA	-
epd-pgk-fbaA	-	pgk-fbaA	-
epd-pgk-fbaA	-	pgk-fbaA	-
epd-pgk-fbaA	-	pgk	-
epd-pgk-fbaA	-	pgk	-
epd-pgk-fbaA	-	pgk	-
epd-pgk-fbaA	-	pgk-fbaA	-
yzcX	+	cyaY1	-
focA-pflB	-	pflB	-
focA-pflB	-	focA-pflB	-
focA-pflB	-	pflB	-
focA-pflB	-	pflB	-
focA-pflB	-	pflB	-
focA-pflB	-	pflB	-
focA-pflB	-	focA-pflB	-
ampC	-	frdABCD	-
ampC	-	frdABCD	-
adhE	-	adhE	-
ypjD1	+	ypjD2	+
ypjD1	+	ffh	-
metJ	-	metJ	-
metJ	-	metJ	-
ydfV	+	relBE-hokD	-
rdlD	+	ldrD	-
yciCB	-	yciA1	-
hisS	-	yfgM	-
hisS	-	ispG-sroE1	-
hisS	-	ispG-sroE2	-
hisS	-	ispG-sroE3	-
hisS	-	yfgM	-
hisS	-	yfGM	-
cadBA	-	cadA	-
mhpR-lacI	-	mhpR-lacI	-
mhpR-lacI	-	lacI	-
pyrLBI	-	pyrLBI	-
dicB-ydfDE-insD-intQ	+	ydfABC-dicFB-ydfD	+
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rimP-nusA-infB	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	pnp	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	sraG	+
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY-yhbC-nusA-infB	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rpsO	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	nlpI1	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	nusA-infB	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY	-
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rpsO-pnp	-
ydiY1	-	ydiY2	-
ydiY1	-	ydiY3	-
ydiY2	-	ydiY3	-
pabA	-	yhfG-fic-pabA	-
pykF	+	pykF	+
pykF	+	pykF	+
pykF	+	pykF	+
pykF	+	pykF	+
pykF	+	pykF	+
alaA-yfbR1	+	alaA-yfbR2	+
alaA-yfbR1	+	alaA	+
alaA-yfbR1	+	yfbR	+
alaA-yfbR2	+	alaA	+
alaA-yfbR2	+	yfbR	+
gadEF	+	gadEF	+
gadEF	+	gadEF-mdtEF	+
gadEF	+	gadE-mdtEF	+
fkpA	-	slyX1	+
fkpA	-	fkpA	-
dapD	-	map-glnD-dapD	-
deaD1	-	yrbN-deaD	-
deaD1	-	yrbN-deaD	-
arcA	-	arcA	-
arcA	-	arcA	-
arcA	-	arcA	-
arcA	-	yjjY1	+
arcA	-	arcA	-
arcA	-	arcA	-
arcA	-	creABCD	+
arcA	-	creD	+
arcA	-	arcA	-
tyrP	+	yecH1	-
tyrP	+	tyrP	+
gpmM-envC-yibQ	+	yibN1	-
gpmM-envC-yibQ	+	yibD	-
gpmM-envC-yibQ	+	yibD1	-
gpmM-envC-yibQ	+	gpmM-envC-yibQ	+
gpmM-envC-yibQ	+	yibN-grxC-secB-gpsA	-
yeiQ1	+	yeiQ2	+
gadAX	-	gadAX	-
gadAX	-	gadY	+
gadAX	-	gadXW	-
gadAX	-	gadX	-
yhcN1	+	yhcN2	+
rfaDFCL	+	rfaDFCL	+
rfaDFCL	+	rfaDFCL	+
rfaDFCL	+	rfaDFCL	+
mdtL	+	yidZ	+
yjjW	-	yjjI	-
rpsA-ihfB	+	ycaI-msbA-lpxK-ycaQ1	+
rpsA-ihfB	+	ycaI-msbA-lpxK-ycaQ3	+
rpsA-ihfB	+	cmk-rpsA	+
rpsA-ihfB	+	rpsA-ihfB	+
rpsA-ihfB	+	ihfB	+
rpsA-ihfB	+	ihfB	+
aroF-tyrA	-	pheLA	+
pyrG-eno	-	eno	-
pyrG-eno	-	eno	-
pyrG-eno	-	eno	-
pyrG-eno	-	eno	-
pyrG-eno	-	pyrG-eno	-
pyrG-eno	-	eno	-
pyrG-eno	-	pyrG-eno	-
pyrG-eno	-	eno	-
pyrG-eno	-	eno	-
crr	+	ptsHI-crr	+
crr	+	ptsHI-crr	+
crr	+	ptsHI-crr	+
crr	+	crr	+
crr	+	ptsHI-crr	+
crr	+	ptsHI-crr	+
crr	+	ptsHI-crr	+
yggM1	-	yggM2	-
yggM1	-	yggM3	-
yggM1	-	ansB	-
yggM1	-	ansB	-
yggM2	-	yggM3	-
nuoABCEFGHIJKLMN	-	nuoMN	-
nuoABCEFGHIJKLMN	-	nuoABCEFGHIJKLMN	-
nfuA	+	gntXY	+
nfuA	+	nfuA	+
rhtB	-	pldB-yigL1	+
rhtB	-	pldB-yigL2	+
pykA	+	pykA	+
pykA	+	pykA	+
pykA	+	pykA	+
hisBHAFI	+	hisLGDCBHAFI	+
rfaZ-waaU	-	rfaQGPSBIJYZ-waaU	-
rfaZ-waaU	-	rfaYZ	-
rfaZ-waaU	-	rirA-rfaQGPSBIJYZ-waaU	-
fhuACDB	+	fhuACDB	+
dksA-yadB	-	dksA-yadB	-
dksA-yadB	-	pcnB-folk	-
dksA-yadB	-	pcnB-folK	-
dksA-yadB	-	dksA-gluQ	-
dksA-yadB	-	sfsA-dksA	-
ubiX	-	cvpA-purF-ubiX	-
ptsHI-crr	+	ptsHI-crr	+
ptsHI-crr	+	ptsHI-crr	+
ptsHI-crr	+	crr	+
ptsHI-crr	+	ptsHI-crr	+
ptsHI-crr	+	ptsHI-crr	+
ptsHI-crr	+	ptsHI-crr	+
nei	+	ybgIJKL-nei	+
nei	+	ybgIJKL-nei	+
flhDC	-	asflhD	+
flhDC	-	flhDC	-
flhDC	-	motRAB-cheAW	-
acnB	+	acnB	+
glgCAP	-	glgAP	-
glgCAP	-	glgCAP	-
glgCAP	-	glgCAP	-
glgCAP	-	glgBXCAP	-
nmpC	-	insH-21	-
mglBAC	-	mglBAC	-
mglBAC	-	mglAC	-
bglG	-	bglGFB	-
bglG	-	bglG	-
yidL	+	glvCBG-ysdC	-
yhbO	+	yhbP	-
gpmA	-	gpmA	-
gpmA	-	gpmA	-
gpmA	-	gpmA	-
ompA	-	ompA	-
ispDF	-	truD	-
metJ	-	metJ	-
rrsE-gltV-rrlE-rrfE	+	rrlE-rrfE	+
rrsE-gltV-rrlE-rrfE	+	rrsE-gltV-rrlE-rrfE	+
rrsE-gltV-rrlE-rrfE	+	yjaA2	+
rrsE-gltV-rrlE-rrfE	+	rrsE-gltV-rrlE-rrfE	+
ycgY1	+	ycgY2	+
nuoMN	-	nuoABCEFGHIJKLMN	-
artPIQM	-	artPIQM	-
artPIQM	-	artPIQM	-
artPIQM	-	artPIQM	-
exbD	-	exbBD	-
rpmH-rnpA	+	rpmH-rnpA	+
rpmH-rnpA	+	rpmH-rnpA	+
rseD-rpoE-rseABC	-	rpoE-rseABC	-
rseD-rpoE-rseABC	-	rseABC	-
rseD-rpoE-rseABC	-	rseD-rpoE-rseABC	-
rseD-rpoE-rseABC	-	rseD-rpoE-rseABC	-
rseD-rpoE-rseABC	-	rseD-rpoE-rseABC	-
rseD-rpoE-rseABC	-	rpoE-rseABC	-
rseD-rpoE-rseABC	-	rpoE-rseABC	-
rseD-rpoE-rseABC	-	rpoE-rseABC	-
ffs1	+	ffs2	+
ffs1	+	ffs3	+
ffs1	+	ybaZ	-
ffs2	+	ffs3	+
yodB1	+	yodB2	+
yodB1	+	yodB3	+
yodB1	+	yodB4	+
yodB2	+	yodB3	+
yodB2	+	yodB4	+
yodB3	+	yodB4	+
clpB	-	clpB	-
clpB	-	ryfD	-
napFDAGHBC	-	napFDAGHBC-ccmABCDEFGH	-
napFDAGHBC	-	ccmABCDEFGH	-
ymdA	+	csgC	+
ymdA	+	csgBAC	+
ymdA	+	csgBAC	+
ymdA	+	ymdAB-clsC	+
ymdA	+	ymdAB	+
mlc	-	mlc-ynfK	-
ftsK	+	ftsK	+
xdhABC	+	xdhABC	+
acpT	+	nikABCDER	+
aaeXAB	-	yhcO1	-
norR1	-	norR	-
norR1	-	srlAEBD-gutM-srlR-gutQ	+
ycfT1	-	ycfT2	-
mlc-ynfK	-	ynfK1	-
mlc-ynfK	-	ynfK2	-
mlc-ynfK	-	clcB	+
slyB	+	slyB	+
lacYA	-	lacZYA	-
lacYA	-	lacZYA	-
lacYA	-	lacZYA	-
lacYA	-	cynTSX	+
lacYA	-	lacZYA	-
yhhQ1	+	dcrB1	+
yhhQ1	+	dcrB4	+
sokB	+	mokB1	-
manXYZ	+	manXYZ-yobD	+
yggE	-	argO	-
yggE	-	yggE	-
ygjH1	-	ygjH2	-
ydfABC-dicFB-ydfD	+	dicF	+
ydfABC-dicFB-ydfD	+	ydfABC	+
tolC-ygiBC	+	tolC-ygiBC	+
tolC-ygiBC	+	tolC-ygiBC	+
tolC-ygiBC	+	tolC-ygiBC	+
yohO1	+	osmF-yehYXW	-
yohO1	+	mlrA	+
yohO1	+	mlrA	+
yohO1	+	osmF-yehYXW1	-
yihW	+	yihV-csqR	+
csgC	+	csgBAC	+
csgC	+	csgBAC	+
csgC	+	ymdAB-clsC	+
csgC	+	ymdAB	+
hemL	-	hemL	-
hemL	-	hemL	-
hdeAB-yhiD	-	hdeAB-yhiD	-
hdeAB-yhiD	-	yhiD1	-
hdeAB-yhiD	-	yhiD2	-
dcuR	-	dcuSR	-
ycbZ1	-	matP	+
ppdAB-ygdB-ppdC-recC	-	recC	-
fepA-entD1	-	fepA-entD	-
metA	+	metA	+
clpS	+	clpA	+
arcA	-	arcA	-
arcA	-	arcA	-
arcA	-	yjjY1	+
arcA	-	arcA	-
arcA	-	arcA	-
arcA	-	creABCD	+
arcA	-	creD	+
arcA	-	arcA	-
allB	+	allB	+
allB	+	ybbY-glxK	+
allB	+	allB	+
allB	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+
acnA	+	acnA	+
acnA	+	acnA	+
acnA	+	acnA	+
aroL-yaiA-aroM	+	aroM	+
aroL-yaiA-aroM	+	yaiA-aroM	+
aroL-yaiA-aroM	+	aroL-yaiA-aroM	+
ycbC	-	ycbJ	+
lgt	-	lgt-thyA	-
lgt	-	thyA	-
pdeL	+	pdeL	+
pdeL	+	pdeL	+
rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
rrlA-rrfA	+	rrsA-ileT-alaT-rrlA-rrfA	+
ygbE1	-	cysDNC	-
uspA	+	uspA	+
uspA	+	uspA	+
fadR	+	fadR	+
csgDEFG	-	csgDEFG	-
csgDEFG	-	csgDEFG	-
csgDEFG	-	csgDEFG	-
narK	+	narK	+
fliFGHIJK	+	fliFGHIJK	+
insC2D2CD2	-	ydbA	+
yraQ1	-	yraQ2	-
atpBEFHAGDC	-	atpIBEFHAGDC	-
atpBEFHAGDC	-	atpBEFHAGDC	-
yjcO1	-	yjcO2	-
yjcO1	-	yjcO3	-
yjcO1	-	yjcO4	-
yjcO1	-	fdhF	-
yjcO2	-	yjcO3	-
yjcO2	-	yjcO4	-
yjcO2	-	fdhF	-
yjcO3	-	yjcO4	-
nagBACD	-	nagC	-
nagBACD	-	nagC	-
nagBACD	-	nagA	-
nagBACD	-	umpH	-
gabDTP	+	gabDTP	+
gabDTP	+	csiD-ygaF-gabDTP	+
gabDTP	+	gabDTP	+
mltF	+	pgpC-tadA	-
ydiL	+	ydiM1	+
ydiL	+	ydiM2	+
aroP	-	aroP	-
rsmD-yhhL1	+	rsmD-yhhL2	+
rsmD-yhhL1	+	rsmD-yhhL3	+
rsmD-yhhL1	+	rsmD-yhhL4	+
rsmD-yhhL2	+	rsmD-yhhL3	+
rsmD-yhhL2	+	rsmD-yhhL4	+
rsmD-yhhL3	+	rsmD-yhhL4	+
ryfA1	+	sseB	-
fsr1	-	fsr2	-
fsr1	-	fsr3	-
fsr1	-	fsr4	-
fsr2	-	fsr3	-
fsr2	-	fsr4	-
fsr3	-	fsr4	-
mltD1	-	mltD2	-
dksA-yadB	-	pcnB-folk	-
dksA-yadB	-	pcnB-folK	-
dksA-yadB	-	dksA-gluQ	-
dksA-yadB	-	sfsA-dksA	-
uvrB	+	uvrB	+
hofQ	-	hofMNOP	-
talA-tktB	+	talA	+
talA-tktB	+	talA-tktB	+
talA-tktB	+	tktB	+
ycgZ1	+	ycgZ2	+
ycgZ1	+	ycgZ-ymgA-ariR-ymgC	+
ycgZ1	+	ycgZ-ymgA-ariR-ymgC	+
ycgZ2	+	ycgZ-ymgA-ariR-ymgC	+
ycgZ2	+	ycgZ-ymgA-ariR-ymgC	+
argF	-	argF-xynR1	-
asr	+	asr	+
pspF	-	pspABCDE	+
pspF	-	pspF	-
pspF	-	pspF	-
dfp	+	dut-slmA	+
ribE-nusB-thiL-pgpA	+	nrdR-ribDE-nusB-thiL-pgpA	+
yegI1	-	yegI2	-
yegI1	-	yegI3	-
yegI1	-	yegJ1	+
yegI1	-	yegJ2	+
yegI2	-	yegI3	-
yegI2	-	yegJ1	+
yegI2	-	yegJ2	+
yneK1	+	yneK2	+
yneK2	+	yneJ1	+
yneK2	+	yneJ2	+
xapR	-	xapR	-
xapR	-	valUXY-lysV	+
sokC	+	mokC-hokC	-
safA-ydeO	-	ydeO	-
asflhD	+	flhDC	-
valS	-	holC-valS	-
valS	-	holC1	-
valS	-	valS	-
nanA	-	nanATEK-yhcH	-
slyA1	-	slyA2	-
slyA1	-	slyA3	-
slyA2	-	slyA3	-
slyA2	-	ydhIJK	+
map-glnD-dapD	-	glnD	-
araE-ygeA	-	lysR	+
araE-ygeA	-	araE	-
araE-ygeA	-	ygeA1	-
ftsZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	ftsQAZ	+
ftsZ	+	stfZ	-
ftsZ	+	ftsQAZ	+
ftsZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	ftsZ	+
ftsZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsZ	+	stfZ	-
ftsZ	+	stfZ	-
ftsZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	-	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	-
kup	+	kup	+
kup	+	kup	+
nemRA	+	nemA	+
