Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
nuoABCEFGHIJKLMN	[nuoABCEFGHIJKLMN 2,390,005 &larr; 2,405,335]	-	nuoAp1	[nuoAp1 2,405,335]	nuoN // nuoM // nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA
fecIR	[fecIR 4,516,764 &larr; 4,518,282]	-	fecIp	[fecIp 4,518,282]	fecR // fecI
ratA-yfjF	[ratA-yfjF 2,754,008 &larr; 2,754,764]	-			ratA // yfjF
yhhT	[yhhT 3,611,865 &rarr; 3,612,914]	+			yhhT
argD	[argD 3,488,960 &larr; 3,490,221]	-	argDp	[argDp 3,490,221]	argD
yghU	[yghU 3,138,700 &rarr; 3,139,593]	+	yghUp	[yghUp 3,138,700]	yghU
gapA	[gapA 1,862,526 &rarr; 1,863,766]	+	gapAp4	[gapAp4 1,862,526]	gapA
yjhA	[yjhA 4,538,785 &larr; 4,539,501]	-			nanC
ycbZ	[ycbZ 1,016,539 &larr; 1,018,299]	-			ycbZ
citR-ybdNM	[citR-ybdNM 634,747 &larr; 637,618]	-			ybdM // ybdN // citR
yeaX	[yeaX 1,885,845 &rarr; 1,886,810]	+			yeaX
iscRSUA	[iscRSUA 2,659,563 &larr; 2,662,199]	-	iscRp	[iscRp 2,662,199]	iscA // iscU // iscS // iscR
groSL	[groSL 4,370,616 &rarr; 4,372,671]	+	groSp2	[groSp2 4,370,616]	groL // groS
pdeG	[pdeG 1,217,328 &rarr; 1,218,851]	+			pdeG
yidL	[yidL 3,860,253 &rarr; 3,861,176]	+	yidLp	[yidLp 3,860,253]	yidL
rrsG-gltW-rrlG-rrfG	[rrsG-gltW-rrlG-rrfG 2,726,069 &larr; 2,731,448]	-	rrsGp1	[rrsGp1 2,731,448]	rrfG // rrlG // gltW // rrsG
ymfK	[ymfK 1,202,259 &larr; 1,202,933]	-			ymfK
helD	[helD 1,024,438 &rarr; 1,026,525]	+	helDp	[helDp 1,024,438]	helD
focA-pflB	[focA-pflB 951,207 &larr; 954,503]	-	focAp2	[focAp2 954,503]	pflB // focA
rhtB	[rhtB 4,008,439 &larr; 4,009,059]	-			rhtB
ompA	[ompA 1,019,013 &larr; 1,020,187]	-	ompAp2	[ompAp2 1,020,187]	ompA
bglA	[bglA 3,043,662 &rarr; 3,045,101]	+			bglA
rpoH	[rpoH 3,599,887 &larr; 3,600,870]	-	rpoHp3	[rpoHp3 3,600,870]	rpoH
ygiD	[ygiD 3,181,619 &larr; 3,182,434]	-			ygiD
gnsA	[gnsA 1,052,004 &rarr; 1,052,240]	+	gnsAp1	[gnsAp1 1,052,004]	gnsA
feaR	[feaR 1,446,378 &larr; 1,447,349]	-	feaRp1	[feaRp1 1,447,349]	feaR
sraA	[sraA 458,728 &larr; 458,784]	-			sraA
ybfP	[ybfP 715,412 &rarr; 715,906]	+			ybfP
trkA	[trkA 3,436,488 &rarr; 3,437,894]	+	trkAp	[trkAp NIL &rarr; NIL]	trkA
ybhD	[ybhD 799,622 &larr; 800,575]	-			ybhD
pykF	[pykF 1,755,617 &rarr; 1,757,110]	+	pykFp3	[pykFp3 1,755,617]	pykF
nei	[nei 745,904 &rarr; 746,726]	+	neip	[neip 745,904]	nei
yhcN	[yhcN 3,385,538 &rarr; 3,385,801]	+			yhcN
nuoMN	[nuoMN 2,390,005 &larr; 2,393,071]	-	nuoMp	[nuoMp NIL &larr; NIL]	nuoN // nuoM
exbD	[exbD 3,150,552 &larr; 3,151,390]	-	exbDp	[exbDp 3,151,390]	exbD
yagML	[yagML 293,220 &larr; 294,799]	-			yagM // yagL
yneK	[yneK 1,615,763 &rarr; 1,616,878]	+			yneK
yliI	[yliI 878,742 &rarr; 879,857]	+			yliI
ydgH	[ydgH 1,678,427 &rarr; 1,679,371]	+			ydgH
fkpA	[fkpA 3,476,607 &larr; 3,477,525]	-	fkpAp1	[fkpAp1 3,477,525]	fkpA
mepK-gloC	[mepK-gloC 983,023 &rarr; 984,297]	+	mepKp	[mepKp 983,023]	gloC // mepK
sbcB	[sbcB 2,082,728 &rarr; 2,084,183]	+	sbcBp	[sbcBp 2,082,728]	sbcB
aroF-tyrA	[aroF-tyrA 2,738,912 &larr; 2,741,201]	-	aroFp	[aroFp 2,741,201]	tyrA // aroF
pspBCDE	[pspBCDE 1,368,771 &rarr; 1,370,003]	+	pspBp	[pspBp NIL &rarr; NIL]	pspE // pspD // pspC // pspB
dacA	[dacA 662,752 &larr; 663,963]	-			dacA
gatR_2	[gatR_2 2,169,693 &larr; 2,171,757]	-	gatR_2p	[gatR_2p NIL &larr; NIL]	gatR
pdeR	[pdeR 1,344,757 &larr; 1,346,843]	-	pdeRp	[pdeRp 1,346,843]	pdeR
uspA	[uspA 3,640,000 &rarr; 3,640,591]	+	uspAp3	[uspAp3 3,640,000]	uspA
lptAB	[lptAB 3,343,326 &rarr; 3,344,669]	+	lptAp1	[lptAp1 3,343,326]	lptB // lptA
fliCX	[fliCX 2,001,912 &larr; 2,003,676]	-	fliCp	[fliCp 2,003,676]	fliX // fliC
araE-ygeA	[araE-ygeA 2,979,943 &larr; 2,982,208]	-	araEp	[araEp 2,982,208]	ygeA // araE
nemRA	[nemRA 1,726,021 &rarr; 1,727,756]	+	nemRp	[nemRp 1,726,021]	nemA // nemR
pabA	[pabA 3,490,266 &larr; 3,490,851]	-	pabAp	[pabAp 3,490,851]	pabA
feaR	[feaR 1,446,378 &larr; 1,447,309]	-	feaRp2	[feaRp2 1,447,309]	feaR
argF	[argF 289,301 &larr; 290,340]	-	argFp	[argFp 290,340]	argF
yraL	[yraL 3,292,475 &larr; 3,293,335]	-			rsmI
valS	[valS 4,480,932 &larr; 4,483,919]	-	valSp2	[valSp2 4,483,919]	valS
metJ	[metJ 4,128,078 &larr; 4,128,466]	-	metJp3	[metJp3 4,128,466]	metJ
nuoABCEFGHIJKLMN	[nuoABCEFGHIJKLMN 2,390,005 &larr; 2,405,162]	-	nuoAp2	[nuoAp2 2,405,162]	nuoN // nuoM // nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA
ydjO	[ydjO 1,812,329 &larr; 1,813,132]	-			ydjO
idnK	[idnK 4,494,476 &rarr; 4,495,186]	+	idnKp	[idnKp 4,494,597]	idnK
prfB-lysS	[prfB-lysS 3,033,657 &larr; 3,036,282]	-			lysS // prfB
mcbA	[mcbA 841,796 &larr; 842,153]	-	mcbAp5	[mcbAp5 842,153]	mcbA
azoR	[azoR 1,482,255 &larr; 1,482,904]	-	azoRp	[azoRp 1,482,904]	azoR
ghrA	[ghrA 1,097,886 &rarr; 1,098,824]	+			ghrA
thrS-infC-rpmI-rplT-pheMST-ihfA	[thrS-infC-rpmI-rplT-pheMST-ihfA 1,795,253 &larr; 1,802,733]	-	thrSp	[thrSp 1,802,733]	ihfA // pheT // pheS // pheM // rplT // rpmI // infC // thrS
mlc-ynfK	[mlc-ynfK 1,666,524 &larr; 1,668,591]	-	mlcp2	[mlcp2 1,668,591]	bidA // mlc
gcvB	[gcvB 2,942,653 &rarr; 2,942,901]	+	gcvBp	[gcvBp 2,942,696]	gcvB
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,308,999 &larr; 3,318,375]	-	metYp2	[metYp2 3,318,375]	pnp // rpsO // truB // rbfA // infB // nusA // rimP // metY
ybdN	[ybdN 635,349 &larr; 636,686]	-	ybdNp	[ybdNp 636,686]	ybdN
dps	[dps 848,408 &larr; 848,950]	-	dpsp	[dpsp 848,950]	dps
dicC-ydfXW	[dicC-ydfXW 1,647,174 &larr; 1,647,876]	-	dicCp	[dicCp 1,647,876]	dicC // ydfX // ydfW
ilvC	[ilvC 3,957,851 &rarr; 3,959,445]	+	ilvCp	[ilvCp 3,957,912]	ilvC
slyB	[slyB 1,719,744 &rarr; 1,720,343]	+	slyBp1	[slyBp1 1,719,777]	slyB
ycgZ	[ycgZ 1,215,789 &rarr; 1,216,025]	+			ycgZ
araFGH	[araFGH 1,982,554 &larr; 1,986,148]	-	araFp2	[araFp2 1,986,148]	araH // araG // araF
napFDAGHBC	[napFDAGHBC 2,297,657 &larr; 2,303,695]	-	napFp3	[napFp3 2,303,695]	napC // napB // napH // napG // napA // napD // napF
aroL-yaiA-aroM	[aroL-yaiA-aroM 406,355 &rarr; 408,105]	+	aroLp2	[aroLp2 406,355]	aroM // yaiA // aroL
cspE	[cspE 657,147 &rarr; 657,501]	+	cspEp1	[cspEp1 657,147]	cspE
yadGH	[yadGH 142,779 &rarr; 144,472]	+			yadH // yadG
argX-hisR-leuT-proM	[argX-hisR-leuT-proM 3,982,289 &rarr; 3,982,841]	+	argXp	[argXp 3,982,364]	argX // hisR // leuT // proM
ygjI	[ygjI 3,226,234 &rarr; 3,227,667]	+			ygjI
clpS	[clpS 922,751 &rarr; 923,233]	+	clpSp	[clpSp 922,751]	clpS
ybgIJKL-nei	[ybgIJKL-nei 742,798 &rarr; 746,726]	+	ybgIp2	[ybgIp2 742,798]	pxpA // nei // pxpC // pxpB // ybgI
rrsA-ileT-alaT-rrlA-rrfA	[rrsA-ileT-alaT-rrlA-rrfA 4,035,106 &rarr; 4,040,636]	+	rrsAp	[rrsAp 4,035,239]	rrfA // rrlA // alaT // ileT // rrsA
yjbB	[yjbB 4,227,602 &rarr; 4,229,362]	+	yjbBp	[yjbBp 4,227,602]	yjbB
kbp	[kbp 2,796,337 &larr; 2,796,814]	-	kbpp4	[kbpp4 2,796,814]	kbp
glsB-yneG	[glsB-yneG 1,611,966 &larr; 1,613,251]	-			glsB // yneG
yiiS-uspD	[yiiS-uspD 4,112,869 &rarr; 4,113,721]	+	yiiSp	[yiiSp 4,112,869]	uspD // yiiS
mdtH	[mdtH 1,124,118 &larr; 1,125,326]	-			mdtH
ygbE	[ygbE 2,873,014 &larr; 2,873,337]	-			ygbE
gntK	[gntK 3,577,006 &larr; 3,577,645]	-	gntKp	[gntKp 3,577,645]	gntK
hspQ	[hspQ 1,028,404 &larr; 1,028,751]	-	hspQp	[hspQp NIL &larr; NIL]	hspQ
yraQ	[yraQ 3,297,098 &larr; 3,298,138]	-			yraQ
yciK-btuR	[yciK-btuR 1,327,767 &larr; 1,329,112]	-			yciK // btuR
ybjS	[ybjS 905,740 &larr; 906,753]	-			ybjS
yohO	[yohO 2,215,657 &rarr; 2,215,764]	+			yohO
metNIQ	[metNIQ 220,113 &larr; 222,714]	-	metNp	[metNp 222,714]	metQ // metI // metN
nagBACD	[nagBACD 699,574 &larr; 703,708]	-	nagBp	[nagBp 703,708]	umpH // nagC // nagA // nagB
ydjM	[ydjM 1,810,170 &rarr; 1,810,801]	+	ydjMp	[ydjMp 1,810,170]	ydjM
evgAS	[evgAS 2,483,521 &rarr; 2,487,967]	+	evgAp1	[evgAp1 2,483,641]	evgS // evgA
fucAO	[fucAO 2,931,865 &larr; 2,933,854]	-	fucAp	[fucAp 2,933,854]	fucO // fucA
yhjH	[yhjH 3,678,420 &larr; 3,679,229]	-	yhjHp	[yhjHp 3,679,229]	pdeH
minCDE	[minCDE 1,224,279 &larr; 1,226,080]	-			minE // minD // minC
ydgJ	[ydgJ 1,703,268 &larr; 1,704,308]	-			ydgJ
yiaF	[yiaF 3,718,334 &larr; 3,719,097]	-	yiaFp	[yiaFp 3,719,097]	yiaF
alaA-yfbR	[alaA-yfbR 2,407,561 &rarr; 2,409,461]	+			yfbR // alaA
yiiR	[yiiR 4,112,315 &rarr; 4,112,755]	+			yiiR
ldtE	[ldtE 1,757,721 &larr; 1,758,725]	-			ldtE
carB	[carB 30,775 &rarr; 34,038]	+	carBp	[carBp 30,775]	carB
proL	[proL 2,286,141 &rarr; 2,286,331]	+	proLp	[proLp 2,286,207]	proL
yghX	[yghX 3,146,856 &larr; 3,147,691]	-			yghX
ynaJ	[ynaJ 1,397,365 &rarr; 1,397,622]	+			ynaJ
nmpC	[nmpC 574,529 &larr; 576,870]	-	nmpCp	[nmpCp 576,870]	nmpC
ydiJ-menI-ydiH	[ydiJ-menI-ydiH 1,764,934 &larr; 1,768,685]	-			ydiJ // menI // ydiH
pspF	[pspF 1,366,818 &larr; 1,368,040]	-	pspFp3	[pspFp3 1,368,040]	pspF
dsrA	[dsrA 2,025,223 &larr; 2,025,313]	-	dsrAp	[dsrAp 2,025,313]	dsrA
yfeR	[yfeR 2,525,930 &larr; 2,526,856]	-			yfeR
yhjD	[yhjD 3,673,362 &rarr; 3,674,375]	+			yhjD
ftsAZ	[ftsAZ 103,517 &rarr; 106,456]	+	ftsAp1	[ftsAp1 103,561]	ftsZ // ftsA
osmB	[osmB 1,343,110 &larr; 1,343,476]	-	osmBp1	[osmBp1 1,343,476]	osmB
ddlA	[ddlA 399,829 &larr; 400,923]	-			ddlA
csgC	[csgC 1,104,931 &rarr; 1,105,293]	+	csgCp	[csgCp NIL &rarr; NIL]	csgC
ydiE	[ydiE 1,789,613 &rarr; 1,789,804]	+			ydiE
yhcG	[yhcG 3,367,827 &rarr; 3,368,954]	+			yhcG
slyA	[slyA 1,720,390 &larr; 1,720,824]	-			slyA
emrE	[emrE 568,315 &rarr; 568,647]	+			emrE
yqaE	[yqaE 2,796,870 &larr; 2,797,085]	-	yqaEp	[yqaEp 2,797,085]	yqaE
ycaI-msbA-lpxK-ycaQ	[ycaI-msbA-lpxK-ycaQ 964,320 &rarr; 970,621]	+			ycaQ // lpxK // msbA // ycaI
pepD	[pepD 254,259 &larr; 255,776]	-	pepDp2	[pepDp2 255,776]	pepD
cspG	[cspG 1,051,461 &rarr; 1,051,673]	+			cspG
folC-dedD	[folC-dedD 2,430,850 &larr; 2,432,942]	-			folC // dedD
tolC-ygiBC	[tolC-ygiBC 3,178,004 &rarr; 3,181,581]	+	tolCp1	[tolCp1 3,178,004]	ygiC // ygiB // tolC
yafZ	[yafZ 267,184 &larr; 268,026]	-	yafZp	[yafZp 268,026]	yafZ
gadEF	[gadEF 3,658,242 &rarr; 3,659,082]	+	gadEp1	[gadEp1 3,658,242]	gadF // gadE
insN-1p // insO1 // insI1 // insN	[TU0-12862 270,226 &rarr; 272,190]	+	insN-1p	[insN-1p 270,226]	insI1 // insN
pstS	[pstS 3,910,443 &larr; 3,911,568]	-	pstSp2	[pstSp2 3,911,568]	pstS
rpsLG-fusA-tufA	[rpsLG-fusA-tufA 3,470,145 &larr; 3,474,621]	-	rpsLp	[rpsLp 3,474,621]	tufA // fusA // rpsG // rpsL
xdhABC	[xdhABC 3,000,265 &rarr; 3,003,968]	+	xdhAp2	[xdhAp2 3,000,265]	xdhC // xdhB // xdhA
ompW	[ompW 1,313,909 &rarr; 1,314,658]	+	ompWp	[ompWp 1,313,991]	ompW
cueR	[cueR 513,993 &rarr; 514,400]	+			cueR
yggE	[yggE 3,067,340 &larr; 3,068,185]	-	yggEp2	[yggEp2 3,068,185]	yggE
ypfH	[ypfH 2,593,072 &larr; 2,593,770]	-			ypfH
ytfH	[ytfH 4,434,113 &rarr; 4,434,493]	+			ytfH
yhjC	[yhjC 3,672,136 &rarr; 3,673,313]	+	yhjCp	[yhjCp 3,672,136]	rcdB
dksA-yadB	[dksA-yadB 159,186 &larr; 160,722]	-	dksAp1	[dksAp1 160,722]	gluQ // dksA
rdlD	[rdlD 3,700,136 &rarr; 3,700,199]	+	rdlDp	[rdlDp 3,700,136]	rdlD
ygeG	[ygeG 2,991,268 &rarr; 2,991,759]	+			ygeG
ycfT	[ycfT 1,174,092 &larr; 1,175,165]	-			ycfT
ycbC	[ycbC 972,622 &larr; 973,401]	-			elyC
aroKB-damX-dam-rpe-gph-trpS	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,380]	-	aroKp1	[aroKp1 3,519,380]	trpS // gph // rpe // dam // damX // aroB // aroK
yeaM	[yeaM 1,874,755 &larr; 1,875,600]	-	nimRp	[nimRp 1,875,600]	nimR
dacC	[dacC 880,653 &rarr; 881,929]	+	dacCp	[dacCp 880,653]	dacC
yfjD	[yfjD 2,748,774 &rarr; 2,750,060]	+			yfjD
yihA	[yihA 4,050,133 &larr; 4,050,765]	-			yihA
ybgA-phr	[ybgA-phr 738,980 &rarr; 740,925]	+	ybgAp1	[ybgAp1 738,980]	phr // ybgA
dapE-ypfN	[dapE-ypfN 2,591,560 &rarr; 2,592,962]	+	dapEp	[dapEp 2,591,560]	ypfN // dapE
leuU	[leuU 3,322,072 &larr; 3,322,278]	-	leuUp	[leuUp 3,322,278]	leuU
hemL	[hemL 173,602 &larr; 174,902]	-	hemLp1	[hemLp1 174,902]	hemL
uvrB	[uvrB 813,462 &rarr; 815,547]	+	uvrBp2	[uvrBp2 813,462]	uvrB
rhsC-ybfB	[rhsC-ybfB 729,583 &rarr; 734,102]	+			ybfB // rhsC
ptsHI-crr	[ptsHI-crr 2,533,437 &rarr; 2,536,380]	+	ptsHp5	[ptsHp5 2,533,498]	ptsH // ptsI // crr
sgrST-setA	[sgrST-setA 77,313 &rarr; 78,799]	+	sgrSp2	[sgrSp2 77,367]	sgrT // setA // sgrS
slt	[slt 4,630,700 &rarr; 4,632,670]	+	sltp7	[sltp7 4,630,700]	slt
serS	[serS 939,365 &rarr; 940,765]	+	serSp	[serSp 939,365]	serS
arcA	[arcA 4,639,539 &larr; 4,640,801]	-	arcAp7	[arcAp7 4,640,801]	arcA
yebE	[yebE 1,929,048 &larr; 1,929,732]	-	yebEp	[yebEp 1,929,732]	yebE
ogrK	[ogrK 2,167,302 &larr; 2,167,520]	-			ogrK
ydiY	[ydiY 1,805,325 &larr; 1,806,083]	-			ydiY
epd-pgk-fbaA	[epd-pgk-fbaA 3,070,165 &larr; 3,073,823]	-	epdp2	[epdp2 3,073,823]	fbaA // pgk // epd
yodB	[yodB 2,042,368 &rarr; 2,042,898]	+			yodB
ybjJI	[ybjJI 885,316 &larr; 887,339]	-			ybjJ // ybjI
yhdT-panF-prmA	[yhdT-panF-prmA 3,407,351 &rarr; 3,410,042]	+	yhdTp	[yhdTp 3,407,351]	yhdT // panF // prmA
panZ	[panZ 3,597,984 &rarr; 3,598,367]	+			panZ
ybeZY	[ybeZY 691,874 &larr; 693,378]	-			ybeZ // ybeY
yfcF	[yfcF 2,419,841 &larr; 2,420,485]	-			yfcF
zwf	[zwf 1,934,839 &larr; 1,936,376]	-	zwfp	[zwfp 1,936,376]	zwf
glsA-ybaT	[glsA-ybaT 511,573 &rarr; 513,868]	+	glsAp	[glsAp 511,573]	ybaT // glsA
dkgAp // dkgA	[TU0-13824 3,156,571 &rarr; 3,157,450]	+	dkgAp	[dkgAp 3,156,571]	dkgA
nupX	[nupX 2,252,895 &larr; 2,254,145]	-			nupX
ymdF	[ymdF 1,068,081 &rarr; 1,068,254]	+			ymdF
ygjH	[ygjH 3,220,915 &larr; 3,221,247]	-			ygjH
flhDC	[flhDC 1,977,200 &larr; 1,978,395]	-	flhDp	[flhDp 1,978,395]	flhC // flhD
ssuEADCB	[ssuEADCB 993,277 &larr; 997,563]	-	ssuEp	[ssuEp 997,563]	ssuB // ssuC // ssuD // ssuA // ssuE
cyaA	[cyaA 3,990,997 &rarr; 3,993,699]	+	cyaAp	[cyaAp 3,990,999]	cyaA
aldB	[aldB 3,754,906 &larr; 3,756,535]	-	aldBp	[aldBp 3,756,535]	aldB
insC5CD5D5-yqiHIG	[insC5CD5D5-yqiHIG 3,186,025 &rarr; 3,191,696]	+	insC-5p	[insC-5p 3,186,040]	yqiI // yqiH // yqiG // insD5 // insC5 // insCD5
yegX	[yegX 2,182,833 &larr; 2,183,651]	-			yegX
kup	[kup 3,931,265 &rarr; 3,933,184]	+	kupp3	[kupp3 3,931,265]	kup
dksA-yadB	[dksA-yadB 159,186 &larr; 160,657]	-	dksAp2	[dksAp2 160,657]	gluQ // dksA
ubiX	[ubiX 2,428,030 &larr; 2,428,656]	-	ubiXp	[ubiXp NIL &larr; NIL]	ubiX
glrK	[glrK 2,689,671 &larr; 2,691,123]	-	glrKp	[glrKp 2,691,123]	glrK
ffs	[ffs 476,448 &rarr; 476,561]	+			ffs
mioC	[mioC 3,926,012 &larr; 3,926,475]	-	mioCp	[mioCp 3,926,475]	mioC
yjfY	[yjfY 4,424,516 &larr; 4,424,791]	-			yjfY
yojI	[yojI 2,306,972 &larr; 2,308,641]	-	yojIp	[yojIp 2,308,641]	yojI
wecH	[wecH 3,725,887 &rarr; 3,726,882]	+			wecH
ymgA-ariR	[ymgA-ariR 1,216,068 &rarr; 1,216,635]	+			ariR // ymgA
ymdA	[ymdA 1,105,201 &rarr; 1,105,725]	+	ymdAp	[ymdAp 1,105,201]	ymdA
pyrLBI	[pyrLBI 4,470,986 &larr; 4,472,553]	-	pyrLp2	[pyrLp2 4,472,553]	pyrL // pyrI // pyrB
ydhC	[ydhC 1,739,911 &rarr; 1,741,122]	+			punC
ytjA	[ytjA 4,612,128 &rarr; 4,612,289]	+			ytjA
lgt	[lgt 2,965,066 &larr; 2,966,121]	-	lgtp	[lgtp 2,966,121]	lgt
exuT	[exuT 3,244,962 &rarr; 3,246,522]	+	exuTp2	[exuTp2 3,245,002]	exuT
gntR	[gntR 3,577,622 &larr; 3,578,880]	-	gntRp4	[gntRp4 3,578,880]	gntR
aaeXAB	[aaeXAB 3,386,221 &larr; 3,389,430]	-	aaeXp	[aaeXp 3,389,430]	aaeX // aaeA // aaeB
yjfN	[yjfN 4,416,017 &larr; 4,416,292]	-			yjfN
ybfOC	[ybfOC 734,220 &rarr; 736,219]	+			ybfC // ybfO
yifL-dapF-yigA-xerC-yigB	[yifL-dapF-yigA-xerC-yigB 3,994,492 &rarr; 3,997,899]	+	yifLp	[yifLp 3,994,492]	yigB // xerC // yigA // dapF // lptM
insH-1	[insH-1 274,101 &larr; 275,081]	-			insH1
abrB	[abrB 746,723 &larr; 747,769]	-			abrB
uvrD	[uvrD 3,997,971 &rarr; 4,000,177]	+	uvrDp2	[uvrDp2 3,997,971]	uvrD
uvrB	[uvrB 813,152 &rarr; 815,547]	+	uvrBp3	[uvrBp3 813,152]	uvrB
yggM	[yggM 3,098,558 &larr; 3,099,565]	-			yggM
fdrA-ylbEF-ybcF	[fdrA-ylbEF-ybcF 546,680 &rarr; 551,332]	+			ybcF // ylbF // ylbE // fdrA
dsbC-recJ-prfB	[dsbC-recJ-prfB 3,035,184 &larr; 3,039,633]	-	dsbCp2	[dsbCp2 3,039,633]	prfB // recJ // dsbC
ybhA	[ybhA 797,613 &larr; 798,431]	-			ybhA
yzcX	[yzcX 3,993,850 &rarr; 3,994,335]	+			yzcX
yciCB	[yciCB 1,312,261 &larr; 1,313,698]	-	yciCp	[yciCp 1,313,698]	yciC // yciB
sutR	[sutR 1,506,150 &rarr; 1,506,708]	+	sutRp	[sutRp 1,506,150]	sutR
mnmA	[mnmA 1,192,667 &larr; 1,193,803]	-	mnmAp	[mnmAp NIL &larr; NIL]	mnmA
pntAB	[pntAB 1,674,972 &larr; 1,677,975]	-	pntAp	[pntAp 1,677,975]	pntB // pntA
ygiS	[ygiS 3,166,111 &larr; 3,167,718]	-			ygiS
xapR	[xapR 2,521,334 &larr; 2,522,505]	-	xapRp1	[xapRp1 2,522,505]	xapR
hisBHAFI	[hisBHAFI 2,093,360 &rarr; 2,097,225]	+	hisBp	[hisBp 2,093,360]	hisI // hisF // hisA // hisH // hisB
ryfA	[ryfA 2,653,855 &rarr; 2,654,158]	+			ryfA
eno	[eno 2,906,643 &larr; 2,907,968]	-	enop4	[enop4 2,907,968]	eno
glnS	[glnS 705,999 &rarr; 707,978]	+	glnSp2	[glnSp2 705,999]	glnS
ytjB-lplA	[ytjB-lplA 4,623,101 &larr; 4,624,799]	-	ytjBp	[ytjBp 4,624,799]	lplA // ytjB
hldE	[hldE 3,195,320 &larr; 3,196,753]	-			hldE
yqhA	[yqhA 3,148,977 &larr; 3,149,471]	-			yqhA
artPIQM	[artPIQM 900,695 &larr; 903,769]	-	artPp	[artPp 903,769]	artM // artQ // artI // artP
appY	[appY 583,567 &rarr; 584,430]	+	appYp1	[appYp1 583,567]	appY
